row_index,beta1,beta2,beta3,beta4,lambd1,lambd2,rmse
0,2.3225048763797127,-1.9805448106602415,-4131.935606755723,4131.416058844658,5.458543446909055,5.463130145841476,0.06462075636758635
1,2.9421864975909,-2.5157199560729673,7224.626107027899,-7225.270399317425,3.8697183819197747,3.866951392870921,0.0642091951841601
2,2.3865033080356035,-2.0504455236729484,-1142.4705794865351,1141.691723856529,5.361805832930252,5.377470457898123,0.0673523500041387
3,2.0758522707516702,-1.7258022272905165,2349.5603256703425,-2349.5782505116063,5.506214048941335,5.497126645912857,0.06561795521692304
4,3.075238408427558,-2.727415326379635,360.63906090519316,-363.59293666388265,4.013001849201744,3.9926947209008445,0.04732230668729441
5,2.9214778757415454,-2.587108615444586,1408.6020528444444,-1411.9657052541459,3.411018005567504,3.4086334556855915,0.06916960853805594
6,2.3225048763797127,-1.9805448106602415,-4131.935606755723,4131.416058844658,5.458543446909055,5.463130145841476,0.06462075636758635
7,2.236896595228296,-1.8753808798220535,-8992.589593715293,8992.211217083008,5.4669242475538,5.469303589500513,0.08019675072682132
8,3.108067610681795,-2.7713607289932964,239.59486154117562,-242.12167295378757,4.511530888129333,4.471256283751344,0.04410535442746091
9,2.1868610401755015,-1.8346156602629282,736.5344636874519,-736.9578133506259,5.3715108834464935,5.344441224495796,0.06707703624495606
10,2.4077117936273087,-2.063380888360528,694.8311063457505,-695.582179998452,5.389275067123829,5.363997326777065,0.05920044552921061
11,2.8605594953418176,-2.4871159824899323,4878.362916602226,-4879.581118688011,4.964181106959915,4.960397222586788,0.06819338399400979
12,2.486860819581088,-2.1287962294549994,-2418.326715430538,2417.4007428207638,5.36570097992233,5.3738909443318015,0.0831301992008312
13,2.84358655559495,-2.472495763351613,-1146.9052357758999,1145.7316301942067,5.038322452680344,5.0549886197683795,0.07270400282700976
14,2.725056021033722,-2.270880866323608,18501.962804996765,-18502.250366015003,3.9275053272354334,3.926289081167852,0.07979777639253044
15,3.4692672542681806,-3.0723784365342985,-2906.867723835797,2905.592731793488,3.5624040349935773,3.568144424505683,0.06414861515183812
16,3.111572642008654,-2.760806081516111,827.2980284001204,-830.5118958590909,3.8934266682331997,3.8861659857643587,0.048060602573638145
17,3.0190418003310713,-2.5934319561171995,-8002.971254185051,8002.37250375132,3.8445485564570983,3.847100005760337,0.05990536395469948
18,2.9471687377221496,-2.5583999169414486,3466.973642531147,-3468.9504428119267,4.715287020628921,4.710565589299866,0.07451423701663568
19,2.902802823589922,-2.5630438341388615,388.2678761050439,-391.5107650440467,3.5533129301959048,3.54304329747596,0.06742237478444481
20,2.7062309775403137,-2.251109246414832,5081.797914779921,-5082.076151330121,3.7814272224427765,3.777183742351981,0.07352391954397955
21,3.1760820522131734,-2.836546621901485,1192.329639967395,-1193.915920315847,3.5095567654609017,3.500496620854419,0.02892838931617662
22,2.608069249286533,-2.19574352159935,864.9860323697917,-866.3121172345326,4.6405779473681195,4.6219955266704345,0.06863590425310034
23,2.386211743258432,-1.9861540129729944,1246.132093002668,-1246.89057605825,5.090451288008947,5.075751531623805,0.07198624725324752
24,2.782568910877718,-2.371854383851744,-2881.891725692953,2880.4181720315046,4.850246023681703,4.8572174169909506,0.07622849358137428
25,3.0449983367610383,-2.7004335487660693,-7162.203649609475,7159.325699945726,4.035866199261919,4.0369004702287405,0.0476810295585262
26,2.9421864975909,-2.5157199560729673,7224.626107027899,-7225.270399317425,3.8697183819197747,3.866951392870921,0.0642091951841601
27,3.0575166207048583,-2.709249705487279,1157.6750837950367,-1160.5616790928364,4.041513815354228,4.034845437925459,0.04840905040186085
28,2.6956730890888427,-2.288810661543673,8025.326728686413,-8026.550984420512,4.954227943388246,4.951551552915632,0.07672761427418681
29,2.5669044458962036,-2.1633183743765994,3390.9717768894907,-3392.2344129577473,4.691577787926492,4.68687961360432,0.06923141752078353
30,2.535763606203706,-2.123959502596437,2858.1735054485284,-2859.528403290735,4.749356302545178,4.743796464573166,0.06731068549169071
31,2.849473053644183,-2.393740964046733,-6879.628919221501,6878.479264281256,3.1009293710484855,3.102979430090275,0.05979925064948689
32,2.486860819581088,-2.1287962294549994,-2418.326715430538,2417.4007428207638,5.36570097992233,5.3738909443318015,0.0831301992008312
33,2.493539749875246,-2.139697448940523,-5474.089099835745,5473.181403892128,5.360325158726036,5.363885723963088,0.08036490268736937
34,2.9214778757415454,-2.587108615444586,1408.6020528444444,-1411.9657052541459,3.411018005567504,3.4086334556855915,0.06916960853805594
35,2.8060217828830187,-2.4100640549543915,1962.6238732342824,-1964.0810667434102,4.901873390283178,4.892003529144205,0.07692257331189715
36,3.080508566566133,-2.664817667883067,3343.51199128817,-3344.389773981051,3.82801662070572,3.822434130532953,0.05688262542250591
37,2.1973251523868913,-1.8438094609377658,1549.3044343834517,-1549.7441815346242,5.343122235411674,5.330244295594854,0.0679010357283864
38,2.806456806710159,-2.483440944392539,369.78452826766403,-373.1716849040707,3.3388762468632054,3.3315021031939027,0.06969890081604806
39,2.9563464526075567,-2.522307559563104,243502.23026390412,-243503.1272481155,2.9049587536711905,2.9049040509902784,0.047903938467600125
40,2.919880868883922,-2.479111042533559,34621.2468400841,-34621.8008366599,3.9409449195336648,3.9403210440967134,0.07891973495378422
41,2.5635503715927745,-2.154584228661138,1474.3442606586752,-1475.687116741836,4.715880100798171,4.705080032383377,0.06383530414177203
42,2.1675624730213086,-1.8177660350321256,2490.366771038668,-2490.673694418042,5.457846698196084,5.449565337687387,0.06721772230646235
43,2.888344032616609,-2.4440300979291036,2774.783044338151,-2775.210542037598,3.9242414194259183,3.9162769848787082,0.07996784746866004
44,3.004010696581187,-2.6517857946844696,502.44262668745284,-505.67834413036945,3.8118428526823247,3.8022130888737093,0.0653582291785255
45,3.088452116003097,-2.74317363927764,-2408.7700316079404,2405.8704238890473,3.9718378812811594,3.9748870876768247,0.05347559900935839
46,2.1652218041485316,-1.8124121691848984,-726.6257375605196,726.3179444537074,5.3604007653113666,5.388274547249605,0.06572544415057123
47,2.573984482446396,-2.1694704756605683,1944.3351962743295,-1945.6688088127496,4.658413651318666,4.650390911510284,0.06707644817148825
48,3.007309584772222,-2.6224353398616724,670.6741189410627,-674.3921723819143,3.3916489181042837,3.3864690206111385,0.07946991918952509
49,2.535763606203706,-2.123959502596437,2858.1735054485284,-2859.528403290735,4.749356302545178,4.743796464573166,0.06731068549169071
