t,r_t
1,5.57941703700856
2,5.572412607996794
3,5.584901580329412
4,5.550403567135832
5,5.543593653347596
6,5.495506604065244
7,5.506513291559364
8,5.433246610193585
9,5.410498499022464
10,5.401100130074872
11,5.439986953010697
12,5.492152528186094
13,5.526774451999999
14,5.599068613203211
15,5.609019614008558
16,5.627295032363638
17,5.653743997652409
18,5.6425588492631045
19,5.6668244354513435
20,5.786138244256687
21,5.778688748239574
22,5.736613032489843
23,5.775019547607489
24,5.776078183059895
25,5.788014367457761
26,5.831301302559361
27,5.8088714108235315
28,5.7825959724085605
29,5.813453598751876
30,5.797002208029951
31,5.776106136216048
32,5.7724650915561515
33,5.778344827303745
34,5.728589441022462
35,5.723153839896259
36,5.775192884994652
37,5.748290394294122
38,5.794908363673802
39,5.769862716529419
40,5.765209308091984
41,5.740944572213903
42,5.760821993231017
43,5.782455725695187
44,5.795068825623531
45,5.789711177382892
46,5.788582632995725
47,5.784580651345455
48,5.7466992601647116
49,5.709071804688776
50,5.747247478927275
51,5.72545410222567
52,5.700239843548666
53,5.679000914326208
54,5.628946269191445
55,5.6301524720000025
56,5.577814976598932
57,5.6101572545443865
58,5.611666477274872
59,5.616822541605351
60,5.642206436960428
61,5.667997088147594
62,5.658905908968986
63,5.7136946168919795
64,5.7316600086310165
65,5.718413273910164
66,5.69939996948877
67,5.699766219222463
68,5.7106193971893076
69,5.747155786756153
70,5.733373791189309
71,5.738448261132619
72,5.7628843813893065
73,5.735532261486635
74,5.775106510755081
75,5.793130039711236
76,5.78416622181177
77,5.8895373970984
78,5.853826159078076
79,5.853527024823529
80,5.905014313631021
81,5.903480192820324
82,5.87362261376043
83,5.920360085105885
84,5.857388744147595
85,5.789634126756152
86,5.790734835038504
87,5.789423118271663
88,5.8302287070887715
89,5.783956481626738
90,5.765100053496258
91,5.790081949343317
92,5.83089776996471
93,5.764246632156154
94,5.7714958035550845
95,5.6954662573026775
96,5.7375520878855655
97,5.742840976831018
98,5.740340689748667
99,5.775839010477006
100,5.714672040098396
101,5.742114882967915
102,5.7017462653647115
103,5.762396910163636
104,5.726918584064175
105,5.785558065033156
106,5.7662613684898405
107,5.709274533034227
108,5.712348885211764
109,5.7350394028395755
110,5.788058890016046
111,5.733352744589309
112,5.7473804676181866
113,5.751534375000004
114,5.738824635247061
115,5.767865706149735
116,5.817393662724069
117,5.782754071503746
118,5.793056629055617
119,5.762257223608558
120,5.781536104548668
