row_index,beta1,beta2,beta3,lambd,rmse
0,3.111635518590496,-1.438040310612454,-0.0001341492852414694,2.6525772070632914,0.052345159713768026
1,3.4147229112106285,-1.3328839928157628,-0.00020504525519204897,3.282743227049624,0.04825373083765045
2,3.8899676251122144,-2.4361315400549284,-0.00039466896662387896,3.6633479145539454,0.02732371641027852
3,4.449578983238526,-1.6050950844467362,-1.672616535335699,2.844892001778203,0.03413127347646665
4,3.877529483423709,-2.4193586038249784,-0.00022619350661479132,3.6259395570236923,0.03734318166837678
5,3.302945255695209,-1.4072394844049343,-0.00018084634425341584,2.4635375978268823,0.062288104254388785
6,4.763154575090893,-2.011607716207358,-0.021202500930266877,8.551352604991838,0.04082834123461191
7,3.0903642888525282,-1.5419920989083362,-4.11854426625724e-05,2.4238343486498835,0.0406336664610638
8,4.3786615328354594,-1.3875171578050765,-1.9373629125755072,2.6070470731150275,0.050389137585899905
9,3.0516349017556705,-1.158333637891779,-8.659608549776987e-05,2.6638531603884807,0.07146784009326462
10,3.8783632575657077,-2.4272582975788346,-0.0003038808544497673,3.616968847753204,0.03949027453551891
11,4.413839927076899,-1.5546696996167675,-0.00025863140541371177,2.322102379871133,0.036654332495136964
12,3.0367167580523193,-1.1178586125211112,-0.0003251363083961456,2.602847526937346,0.08025259947010278
13,3.845115394288967,-2.411172810197961,-0.0006638021564497887,3.644036739346548,0.049974195831057985
14,4.606239610857489,-1.4760390904564211,-2.602901764853227e-05,3.0567513399394066,0.045050285014984856
15,4.799919741366811,-2.089127766200207,-0.0031629367066763336,9.51909213505857,0.033036549079043326
16,4.769470297545153,-1.5748037886608683,-0.0006239393710869567,3.9253349094641896,0.03264474814489436
17,3.0876429548708964,-1.094736183722674,-0.0001614768295047364,2.9587559997125212,0.06752428026621533
18,3.288501283993767,-1.3354509352171735,-0.0002738255697642411,2.829410054886776,0.043945879985465924
19,3.1319907143979586,-1.4499652032210044,-0.0006360658081527304,2.686232344128275,0.04578929671560049
20,4.504322964637179,-2.0136182963812836,-0.0004254456627121872,5.383466002499989,0.061819630867476306
21,4.456682377082242,-1.60869190130314,-1.7590521058466162,2.8260932704975366,0.030184851577277086
22,3.0123717622235775,-1.0577293193564294,-7.26965819065617e-05,2.045361297900772,0.08602183611369928
23,3.1743994541222,-1.4500158003108086,-0.0001753180599479709,2.786008938631349,0.042877921201200764
24,3.0538574333112707,-1.1572615331111333,-0.0001314876848901858,2.879270522964302,0.07569928050009885
25,3.992675042251598,-2.369777048388412,-0.0009444940175210581,4.435104332590184,0.02417534925142054
26,4.65476043902772,-1.6714617468777815,-0.00011741129895626035,2.8668891972209987,0.02434537010923662
27,4.680794021226635,-1.8602250137472034,-0.018431189393870395,7.972698976456779,0.02812059334006177
28,3.035279471564502,-0.6978698824111544,-0.9487594549812982,2.0091047336842944,0.0478553151200619
29,3.4110430600801824,-1.3322563000495258,-0.0005032195200450063,3.4962784272522978,0.048048213631951615
30,4.944218377247739,-1.7585674309689747,-0.00028863326283679047,2.5988829809002825,0.050515394777973587
31,3.792262531330139,-2.3382694535551596,-0.0022834842563038693,3.8421546445879935,0.03913554523665684
32,4.422700494977419,-1.4810210952530314,-1.5562950004113136,3.0001124095238656,0.03312232949960827
33,3.046202436799812,-1.1688055592560205,-1.9415193733773872e-05,2.8444397741530643,0.08543587945207487
34,4.01532372303698,-2.517823671761537,-0.01148946376212756,4.57241707159775,0.033463324529575254
35,4.00236970453064,-2.2649541432946916,-4.742667098400766e-05,3.9216609367701434,0.04607797096141477
36,3.045657691093373,-1.5020722539881004,-4.903633392183693e-05,2.3285211733395244,0.06185050366796712
37,4.495413483935215,-1.4238204875044647,-0.005416241838531066,2.2853656783889997,0.026783047177677006
38,3.3643496985971924,-1.50617486736033,-8.647047128584884e-05,2.499669918990151,0.047473804958727855
39,4.470219592335464,-1.5191991306806663,-0.0006613295962625276,1.9766313959310131,0.02914213909024662
40,4.109733866578634,-1.855877412530761,-1.8753902671986822,3.2733559751003694,0.04292314439709713
41,4.744007714412401,-1.63205994302267,-0.0004975689215167001,3.4336373184764004,0.03129621884018967
42,4.917072944970908,-1.8195529068400886,-0.0235329314406601,8.990552994973738,0.030239503914349344
43,3.1034625105577294,-1.5343722643184392,-8.888163939790861e-05,2.498923579752017,0.03824513279958785
44,2.965325136990447,-0.49607284010977915,-1.7255614420335679,1.0527704174501322,0.057912593893525
45,4.4580196878840175,-1.6325665051094203,-1.6890879685570535,2.9002341486982175,0.032249234039979834
46,4.779399479471802,-2.3495598373075257,-0.020494183783967557,8.37531325382922,0.05166306759744319
47,4.744975433215873,-2.4903851186909707,-0.9185278319760308,5.559905956064122,0.037863629424461795
48,3.1070616787504504,-1.5026532832834867,-4.226856227707021e-05,2.5726742539723513,0.05691143317558374
49,4.556492586507595,-2.4903094749125048,-1.7502991645696406,3.2242643634671535,0.04877990586746745
50,4.630328419995864,-1.6686052113480612,-0.00012423120100757412,2.8233533022829187,0.0360142565351063
51,4.1842574051155195,-3.1772074354359203,-3.737669030372439,2.316908345070383,0.04670534997092621
52,3.0694044047403515,-1.505781228070137,-8.563202807548853e-05,2.3202266836162995,0.0643065787103593
53,3.066216845574566,-0.7013919817987494,-0.6822680532175187,2.347122641513987,0.03620518340636147
54,4.646956126657605,-1.8284482250668772,-0.026235200482093213,7.396170361701412,0.021007337318631778
55,4.560422516206375,-1.7197411421986386,-1.2781058271225287,3.746815415602369,0.04465329686973285
56,4.5709693705580845,-1.421614341047837,-0.0004410024743492502,3.1543589958974567,0.028217896072483834
57,3.1228539448998434,-1.5363482867009224,-0.00025485475696901405,2.634454050088474,0.04023740259188854
58,5.169703389178788,-1.8770356255166627,-0.0009082934853220648,3.4016873204492484,0.05374683016126848
59,4.748808380748614,-1.4821550195086437,-1.0312351848864842,5.358392701574436,0.01572467604151937
60,4.605285250668305,-2.2867210900234514,-0.010561224135663405,5.8869979433774855,0.044974761412624055
61,4.420118339797039,-2.2658947732797667,-2.3064852095656585,2.2173914226902802,0.044825681610388
62,2.9488903377585047,-1.3422543786677195,-0.0001349667846567426,2.4126086416177386,0.058356209259264887
63,4.473361908616268,-2.482329758217396,-0.0018328079727303326,4.475869488520429,0.04863115186162522
64,4.979533392683866,-1.787668370072549,-0.858705232816687,1.7862098628258984,0.020454205033281124
65,4.376133697855002,-1.3353473650791283,-2.1207959102684413,2.44507659237318,0.05394788374940372
66,3.98750375389153,-2.4606420651049956,-0.010684945042071181,4.4590331954873035,0.019916564935950943
67,2.945381983131211,-0.7873430788935327,-0.048037976576616376,5.02870508203382,0.022588934884205596
