row_index,beta1,beta2,beta3,beta4,lambd1,lambd2,rmse
0,3.016021986192324,-2.8991770389368083,-561.2899688202191,556.4142396214526,1.5314814814814814,1.5214714714714714,0.03797264922841175
1,2.9418729470306935,-2.515456672543802,-1997.9381739957682,1997.2910590118636,3.8638138138138136,3.8738238238238236,0.06420924411956808
2,3.0026255327887714,-2.9030630970347495,1137.0415750581692,-1141.943806774238,1.5164664664664664,1.5214714714714714,0.03726024748925934
3,2.951714817675687,-2.860568074716938,551.1429200755097,-555.9420650232865,1.4313813813813814,1.4413913913913914,0.03805986383941417
4,3.1638043725070273,-1.7104590386675724,-6.612061457157749,-3.21537275914461,2.162112112112112,0.12507507507507507,0.02657576912621656
5,2.857671741422688,-2.4905527768249915,-2.0262614270360686,-7.572449429908417,0.29024024024024025,1.911861861861862,0.054809477629670394
6,3.016021986192324,-2.8991770389368083,-561.2899688202191,556.4142396214526,1.5314814814814814,1.5214714714714714,0.03797264922841175
7,3.068996162140944,-2.98233769917829,599.237279669887,-604.3003651238025,1.4714214214214214,1.4814314314314314,0.050907487500670784
8,3.2743562455547717,-3.0861816185292485,-0.8570895690664224,-8.188046861113243,0.5154654654654655,2.162112112112112,0.025478818299162147
9,2.953805547200577,-2.859237089983939,-564.1720434514141,559.3055814742826,1.4514014014014014,1.4413913913913914,0.03797580271929878
10,3.0151637102859072,-2.874989172718842,543.771861866908,-548.6734049413262,1.5515015015015015,1.5615115115115115,0.03327961220099923
11,3.485551392131739,-3.362638462139054,-1221.1370810248636,1215.3656891005094,1.4664164164164164,1.4614114114114114,0.04006758702856397
12,3.1680113418999367,-3.091777484087497,-1277.9928678905937,1272.7228601825248,1.5064564564564564,1.5014514514514514,0.048670457869525154
13,3.495988456692454,-3.377963488401934,1242.637930023725,-1248.4474091723348,1.4814314314314314,1.4864364364364364,0.04547349744203493
14,2.72560444361901,-2.271409384997905,-4494.6997277306655,4494.408592982765,3.9238738738738737,3.9288788788788787,0.07979779786821901
15,3.4688848625725877,-3.072091981048263,-3335.1137408369823,3333.841097327772,3.5635135135135134,3.5685185185185184,0.06414862198830193
16,3.147191569682191,-1.866011434087017,-6.313252150378339,-2.755019982923995,2.247197197197197,0.12007007007007008,0.02915487864265417
17,3.0188131499220554,-2.5932754693131015,-4080.615204447523,4080.016845842555,3.8437937937937936,3.8487987987987986,0.05990538773029301
18,3.4095299005481623,-3.306771553166103,-1282.019433446426,1276.1483353953006,1.4313813813813814,1.4263763763763764,0.036942080310233646
19,2.8543128672585416,-2.5356826067577733,-1.8673226950292385,-7.595034153541308,0.29524524524524526,1.921871871871872,0.050622734458470486
20,2.7067078190671787,-2.2515310429098583,-2153.8151984277156,2153.5309169328552,3.7737237237237236,3.7837337337337336,0.07352397945357848
21,3.175753110668205,-2.8362958734146124,-2161.7913372951434,2160.2012980067207,3.5034534534534534,3.5084584584584584,0.028928366929113717
22,3.1606508107431166,-3.017234633855756,1090.6378903609973,-1095.9115341134034,1.3513013013013013,1.3563063063063063,0.0434469607368957
23,3.0683326377494717,-2.928575922118439,1112.0183581212498,-1117.0338983861259,1.4213713713713714,1.4263763763763764,0.04590833546128697
24,3.4620275210988907,-3.372607250201261,1318.281520860401,-1324.3001938966286,1.3763263263263263,1.3813313313313313,0.03736824702720628
25,3.140604073471509,-1.722333332162028,-6.492983377853696,-3.128319991488289,2.177127127127127,0.12507507507507507,0.02818863962271804
26,2.9418729470306935,-2.515456672543802,-1997.9381739957682,1997.2910590118636,3.8638138138138136,3.8738238238238236,0.06420924411956808
27,3.163882455697981,-1.6920478774412493,-6.645310435911015,-3.265045326452656,2.152102102102102,0.12507507507507507,0.02814492716600811
28,3.462262396059468,-3.3771272474261846,1325.4986574362583,-1331.5204905644296,1.3813313313313313,1.3863363363363364,0.03952266481659968
29,3.115964466020275,-2.9722852874710677,1078.1435029903482,-1083.3118338488746,1.3713213213213213,1.3763263263263263,0.04457737666882905
30,3.0611223622344172,-2.9121845911518554,-552.8637030309178,547.7533385469555,1.3913413413413414,1.3813313313313313,0.038378900396962255
31,2.85030486984702,-2.3943980210397737,2814.639357814193,-2815.7902642464364,3.103053053053053,3.098048048048048,0.059799339981373614
32,3.1680113418999367,-3.091777484087497,-1277.9928678905937,1272.7228601825248,1.5064564564564564,1.5014514514514514,0.048670457869525154
33,3.1651513412993433,-3.079804340810485,-1253.1682143418127,1247.920823173387,1.5164664664664664,1.5114614614614614,0.04817951148157747
34,2.857671741422688,-2.4905527768249915,-2.0262614270360686,-7.572449429908417,0.29024024024024025,1.911861861861862,0.054809477629670394
35,3.4456429061196694,-3.363649544371825,1310.783686389746,-1316.6944420743687,1.3963463463463464,1.4013513513513514,0.037020882088440614
36,3.079910660573762,-2.6643378076927497,-3732.100504515992,3731.22180698304,3.8237737737737736,3.8287787787787786,0.05688266573023494
37,2.9647836520691206,-2.87347055321533,1125.9258268203548,-1130.827035857062,1.4363863863863864,1.4413913913913914,0.03853835954263114
38,2.719607899969317,-2.258294767924918,-2.3427481985699683,-7.3675817535683255,0.25520520520520523,1.896846846846847,0.05511979151801032
39,2.9561468436012266,-2.5221885052370205,2661.5045009889664,-2662.3981254049445,2.907857857857858,2.902852852852853,0.04790398436679833
40,2.9194343813288954,-2.4787640285497203,-4317.239056187342,4316.6853418515375,3.9388888888888887,3.9438938938938937,0.07891975390622626
41,3.096602354947763,-2.938756219481816,539.181898120156,-544.3821947291119,1.3813313313313313,1.3913413413413414,0.03751865427387473
42,2.9713615443004824,-2.877723015545043,-570.0044537924288,565.1301933044023,1.4664164164164164,1.4564064064064064,0.037735006288400846
43,2.8876062416813633,-2.443429656794473,4417.835146037627,-4418.260392319229,3.9238738738738737,3.9188688688688686,0.07996786358159116
44,2.967819748463694,-2.604160392953621,-1.9833200698454279,-7.822653986996144,0.31526526526526527,2.021971971971972,0.04936376810848979
45,3.163712071024962,-2.80919072347707,-2.101704787399522,-8.314758128200017,0.31026026026026027,1.951901901901902,0.03148403046823327
46,2.9626560958554586,-2.8655716210487086,-1112.1974526503213,1107.3447460820598,1.4413913913913914,1.4363863863863864,0.03818363456217459
47,3.101419522379324,-2.9536791586378413,534.1652778510824,-539.3371394503483,1.3663163163163163,1.3763263263263263,0.04215886201092937
48,2.9275739302057375,-2.3573667197928074,-2.659826325271804,-8.076751045357357,0.2401901901901902,1.896846846846847,0.06086245570793119
49,3.0611223622344172,-2.9121845911518554,-552.8637030309178,547.7533385469555,1.3913413413413414,1.3813313313313313,0.038378900396962255
50,2.9858606717831995,-2.8723496739650685,-558.4993246489954,553.6776194667435,1.5364864864864864,1.5264764764764764,0.037805134726252264
51,2.8034140320121717,-2.3504719850703437,4395.918831537323,-4396.416177844149,3.9539039039039037,3.9488988988988987,0.08140646473173373
52,3.13205005238992,-1.7618260084658877,-6.422871971034401,-2.994265410652922,2.212162162162162,0.12507507507507507,0.027769550594101283
53,3.4123519247311935,-3.205381515068042,919.9866943757825,-925.3098822951177,1.6966466466466466,1.7016516516516516,0.02319915791108856
54,2.9873642194981134,-2.8312449589995863,-522.9619188208758,517.9376780611693,1.4764264264264264,1.4664164164164164,0.03694329517046226
55,3.4053601332698125,-3.304336236423759,1274.6337803546935,-1280.5085510611598,1.4213713713713714,1.4263763763763764,0.03492467005488464
56,3.133221071804693,-2.8868315715204287,-1.479547138092673,-8.009903022910322,0.3953453453453453,2.082032032032032,0.029526732674680173
57,2.9513922759813727,-2.5181386122367195,4075.7726605703742,-4076.3659191773113,3.8588088088088086,3.8538038038038036,0.06468283610454297
58,2.9418729470306935,-2.515456672543802,-1997.9381739957682,1997.2910590118636,3.8638138138138136,3.8738238238238236,0.06420924411956808
59,3.2743562455547717,-3.0861816185292485,-0.8570895690664224,-8.188046861113243,0.5154654654654655,2.162112112112112,0.025478818299162147
