t,S_t,annuity,strike,mkt price 
1,0.03950306,2.57769172,0.0646,0.031
2,0.03901463,2.5892486,0.0656,0.0326
3,0.03905531,2.592299,0.0658,0.0325
4,0.03882179,2.60350851,0.0660,0.0329
5,0.03879195,2.60760279,0.0659,0.0324
6,0.03919239,2.589313,0.0659,0.0324
7,0.03929731,2.59578806,0.0659,0.0324
8,0.0393192,2.60068184,0.0660,0.0323
9,0.03958067,2.59925377,0.0661,0.0320
10,0.03979127,2.58963389,0.0662,0.0317
11,0.04021884,2.57822399,0.0663,0.0335
12,0.03997978,2.5770246,0.0661,0.0330
13,0.03909452,2.60320034,0.0661,0.0330
14,0.03937917,2.60251449,0.0661,0.0330
15,0.03934849,2.6098248,0.0663,0.0316
16,0.03996016,2.59039195,0.0662,0.0317
17,0.03972702,2.5982795,0.0664,0.0322
18,0.04063132,2.56529695,0.0664,0.0321
19,0.04063516,2.56533466,0.0666,0.0320
20,0.04049291,2.56806596,0.0664,0.0320
