t,S_t,annuity,strike,mkt price
1,0.03237799,2.87673856,0.0646,0.031
2,0.03276744,2.86545564,0.0656,0.0326
3,0.0326513,2.86412991,0.0658,0.0325
4,0.03265995,2.86562704,0.0660,0.0329
5,0.03254274,2.87506952,0.0659,0.0324
6,0.0325048,2.87130485,0.0659,0.0324
7,0.03216736,2.87890539,0.0659,0.0324
8,0.03193481,2.89317442,0.0660,0.0323
9,0.03163677,2.89143125,0.0661,0.0320
10,0.03163822,2.88548698,0.0662,0.0317
11,0.03134499,2.88975585,0.0663,0.0335
12,0.03173383,2.87945464,0.0661,0.0330
13,0.03225268,2.87204851,0.0661,0.0330
14,0.03192835,2.87137728,0.0661,0.0330
15,0.03174338,2.87989081,0.0663,0.0316
16,0.03140964,2.88814278,0.0662,0.0317
17,0.03150123,2.88919422,0.0664,0.0322
18,0.03114063,2.89480278,0.0664,0.0321
19,0.03113216,2.89504454,0.0666,0.0320
20,0.03121854,2.89859654,0.0664,0.0320
