t,r_t
1,0.056403882936
2,0.05655760218823792
3,0.0566679444291755
4,0.05626670666691488
5,0.0557213304251538
6,0.056708690010332685
7,0.05628262685053736
8,0.0554802597962604
9,0.055865595060282436
10,0.05664837023286018
11,0.057046629542523555
12,0.057618725746127544
13,0.05696606744619916
14,0.05727135384295256
15,0.05667352418292348
16,0.05712707917468562
17,0.05683504942163918
18,0.0579660505186792
19,0.05805079261211354
20,0.05779512883536268
21,0.05752628645426282
22,0.057406225352237
23,0.058026363592075164
24,0.058510735992996755
25,0.058559269926983515
26,0.0591689883475467
27,0.059274915111465425
28,0.059362508206860724
29,0.05930307531974582
30,0.05887160532263696
31,0.05870566505279614
32,0.05936121228509636
33,0.05869588858324124
34,0.05915221609589694
35,0.060164061913924045
36,0.060332724519021504
37,0.06127302629818706
38,0.06169664091520607
39,0.06035087804036193
40,0.05964903460697554
41,0.05962347868206632
42,0.059844628538572885
43,0.060160673224003355
44,0.060797217933952104
45,0.061283939359763
46,0.06061665133967056
47,0.06090318353055536
48,0.06128170380649798
49,0.061246190155017075
50,0.06128753855273278
51,0.06181335049197163
52,0.06171892386831304
53,0.0620423115692881
54,0.06211439206445976
55,0.06256086308474343
56,0.06263674310807892
57,0.0631083877825111
58,0.06272404616909558
59,0.06229290854044474
60,0.062324437121509965
61,0.06361718902724332
62,0.06352588120766783
63,0.06342814967132351
64,0.0638761731871864
65,0.06462251354899014
66,0.06524719345224494
67,0.06506006226718301
68,0.06538078279904955
69,0.06546292086759527
70,0.06601851724849171
71,0.06710900462139599
72,0.06815595487563272
73,0.06835511183942891
74,0.06775954050261924
75,0.066626437479532
76,0.06697569551979464
77,0.06637988795724928
78,0.06616126022234761
79,0.06535662391103916
80,0.06592448061752446
81,0.06473388615872865
82,0.06440266219857654
83,0.06508232701329625
84,0.06551986833910851
85,0.06522560243454636
86,0.06550266313726119
87,0.06443032591149617
88,0.0646147750743489
89,0.06401091438889066
90,0.06361434284587683
91,0.0629694228354281
92,0.06335928806882411
93,0.06357688676117501
94,0.0639330417785445
95,0.06434702601145328
96,0.06461535930173155
97,0.06487611294262072
98,0.06407789514994836
99,0.06444445365854135
100,0.06414461775536966
101,0.06360706541793691
102,0.06319577142065357
103,0.06377129097724542
104,0.0632523148303359
105,0.06389593191692956
106,0.06463529137685166
107,0.06399399089598512
108,0.06302287219394874
109,0.063218414912176
110,0.06339326834963185
111,0.06387926099873653
112,0.0643380332550797
113,0.06470565353150086
114,0.06456078476152723
115,0.06323170733949324
116,0.0646977171887531
117,0.06482125484085116
118,0.06459564161142847
119,0.0653655560794911
120,0.0652598084381801
121,0.06522832386638716
122,0.06549894773101826
123,0.06471103825146482
124,0.06483403745173467
125,0.06555289818347552
126,0.06475903802809539
127,0.06445326252342448
128,0.06448197008262985
129,0.06518052495423819
130,0.06487116629332516
131,0.06530734863606566
132,0.06572239541100015
133,0.06618131392100798
134,0.06619448695466619
135,0.06607473125345183
136,0.06589113939759787
137,0.06535666636914565
138,0.06492958360131561
139,0.06504147430007308
140,0.06506610423636407
141,0.065270461034142
142,0.0651462706546506
143,0.06531822823085572
144,0.06545570877907077
145,0.06524178509394156
146,0.06530788137262795
147,0.06433987523623122
148,0.06448522944057189
149,0.06401741099968208
150,0.06333181577662667
151,0.06409126585983188
152,0.06508372418617105
153,0.0647569099384216
154,0.06528055256131124
155,0.06517068379874684
156,0.06497769739645386
157,0.06496397450648926
158,0.06497847194953306
159,0.06368171437389866
160,0.06328112997690681
161,0.0630166843131611
162,0.06269227926027597
163,0.0622344932320566
164,0.06266626880239119
165,0.06211417823746013
166,0.06296758133769834
167,0.06246240639429949
168,0.06174434946994048
169,0.0620103571231911
170,0.06242215310217753
171,0.06303187871473677
172,0.0634698661646211
173,0.06393898363255758
174,0.06492960008653853
175,0.0653845508403854
176,0.0651080898642055
177,0.06527248753456348
178,0.06383076956762629
179,0.06340718994789123
180,0.06355725746920884
181,0.06335530252419082
182,0.06321692430182677
183,0.06310513977872634
184,0.06256067040922099
185,0.061985584698366104
186,0.06179967945566102
187,0.06150826937303802
188,0.06186100332888422
189,0.062465024901668324
190,0.0625741500549333
191,0.06322622627095342
192,0.06319306481069233
193,0.06269013078462808
194,0.06390938295260862
195,0.06399227526689671
196,0.06475996222670401
197,0.06492565265617396
198,0.06567551365029045
199,0.06583428699181754
200,0.06655741106499623
201,0.0662641518750515
202,0.06557134657663222
203,0.06621673671144289
204,0.06628200307923636
205,0.06645028956134905
206,0.06744745423093261
207,0.06722935634598957
208,0.0675168366417063
209,0.06779719091575256
210,0.06837084004818668
211,0.0679741209549167
212,0.06738499996615117
213,0.06739340936237719
214,0.06790280260900654
215,0.06823634951135436
216,0.06847446018073126
217,0.06784081437460623
218,0.06727209536306102
219,0.06737067413320282
220,0.0683985627149958
221,0.06873957057413396
222,0.06817482129991762
223,0.06869250489421758
224,0.06740616238048612
225,0.06769029335845798
226,0.06806705548870445
227,0.06851652787645524
228,0.06925041849460156
229,0.06825210531311894
230,0.06815366434307388
231,0.0676591470109699
232,0.06781307496109648
233,0.06834072306628494
234,0.06878332683196602
235,0.06798088385362094
236,0.06845012038238128
237,0.06805380350753602
238,0.06768667208911809
239,0.06691204461885798
240,0.06668425306917332
241,0.06699896242255705
242,0.06619406972993136
243,0.06528461277468607
244,0.06621777435563377
245,0.06616582991151987
246,0.06629159421462488
247,0.06606429578522308
248,0.065934879806878
249,0.06551580340883349
250,0.06655802612111734
251,0.06686626318817995
252,0.06580992126087513
253,0.06557324376051527
254,0.06560309031508303
255,0.06460687217238464
256,0.06576040359857407
257,0.06594819210716317
258,0.06596570258405852
259,0.06592647823242472
260,0.06604466721230862
261,0.06607729733054268
262,0.0663799817186137
263,0.066623548507175
264,0.06705107808892526
265,0.06747768415725548
266,0.06686446238131509
267,0.06680069217824429
268,0.06725279435261873
