3 Mo,6 Mo,1 Yr,3 Yr,5 Yr,10 Yr,15 Yr,20 Yr,25 Yr
5.32,5.35,5.31,5.06,4.92,4.66,4.49,4.32,4.16
2.13,1.95,2.02,2.89,3.5,4.33,4.74,4.87,4.73
0.52,0.53,0.67,1.84,2.84,4.28,4.74,4.82,4.79
0.46,0.44,0.59,1.82,2.72,3.96,4.36,4.4,4.33
0.39,0.38,0.33,0.45,0.87,1.87,2.55,3.02,3.32
5.49,5.55,5.55,5.31,5.13,4.94,4.76,4.57,4.38
0.43,0.34,0.18,0.17,0.57,1.62,2.32,2.81,3.13
0.42,0.39,0.31,0.36,0.78,1.83,2.54,3.04,3.4
5.55,5.43,5.15,4.74,4.73,4.74,4.66,4.52,4.39
0.39,0.36,0.58,1.88,2.68,3.75,4.1,4.16,4.2
0.46,0.47,0.43,0.59,1.19,2.42,2.99,3.29,3.46
5.18,4.98,4.55,4.22,4.36,4.64,4.67,4.59,4.49
0.63,0.6,0.67,1.9,2.62,3.67,4.34,4.6,4.64
0.54,0.56,0.61,1.13,1.86,3.27,3.97,4.27,4.37
0.62,0.74,0.98,1.95,2.73,3.89,4.35,4.5,4.52
5.23,4.97,4.54,4.16,4.22,4.39,4.41,4.35,4.26
0.52,0.54,0.72,1.9,2.86,4.23,4.68,4.76,4.74
0.43,0.39,0.29,0.36,0.78,1.8,2.51,3.02,3.37
1.13,0.97,0.93,2.0,2.72,3.58,4.06,4.28,4.26
5.05,5.05,4.98,4.77,4.63,4.37,4.22,4.07,3.92
4.44,4.24,4.07,4.01,4.07,4.18,4.22,4.23,4.22
0.47,0.46,0.63,1.84,2.72,3.88,4.3,4.39,4.35
0.54,0.55,0.54,0.77,1.28,2.47,3.22,3.62,3.82
0.52,0.52,0.67,1.86,2.85,4.28,4.72,4.77,4.72
5.09,5.1,5.09,5.0,4.97,5.05,5.04,4.86,4.6
5.14,5.05,4.84,4.5,4.5,4.64,4.73,4.66,4.47
4.55,4.57,4.6,4.64,4.61,4.52,4.44,4.33,4.2
0.46,0.48,0.43,0.53,1.05,2.23,2.84,3.16,3.34
0.45,0.43,0.63,1.89,2.73,3.86,4.27,4.34,4.3
4.44,4.38,4.27,4.17,4.13,4.04,3.99,3.9,3.82
0.49,0.51,0.5,0.68,1.2,2.28,2.81,3.08,3.23
0.53,0.55,0.71,1.83,2.74,4.07,4.54,4.63,4.63
0.39,0.35,0.59,2.0,2.8,3.83,4.16,4.21,4.24
4.53,4.61,4.71,4.8,4.77,4.68,4.56,4.39,4.23
0.43,0.38,0.28,0.31,0.71,1.71,2.43,2.95,3.31
0.49,0.47,0.41,0.55,1.09,2.22,2.8,3.1,3.27
0.83,0.81,0.88,1.84,2.56,3.65,4.26,4.51,4.45
0.53,0.54,0.44,0.55,1.06,2.26,2.97,3.37,3.57
0.51,0.52,0.43,0.52,0.99,2.15,2.87,3.28,3.49
4.42,4.42,4.39,4.38,4.36,4.3,4.23,4.12,4.0
0.58,0.65,0.83,1.69,2.49,3.75,4.26,4.45,4.48
5.26,5.03,4.6,4.2,4.27,4.45,4.46,4.38,4.29
3.27,2.91,2.68,3.23,3.82,4.63,4.94,4.96,4.75
0.51,0.52,0.7,1.89,2.84,4.2,4.64,4.71,4.68
4.45,4.41,4.3,4.21,4.2,4.17,4.15,4.1,4.05
4.45,4.41,4.31,4.22,4.21,4.17,4.14,4.09,4.03
0.44,0.43,0.69,2.01,2.77,3.77,4.18,4.28,4.26
0.48,0.52,0.45,0.49,0.96,2.2,2.89,3.25,3.43
1.36,1.01,0.92,2.16,2.78,3.44,3.91,4.12,4.04
0.54,0.55,0.69,1.79,2.69,4.02,4.45,4.52,4.51
0.72,0.65,0.69,1.84,2.48,3.32,3.94,4.25,4.42
