3M,6M,1Y,3Y,5Y,7Y,10Y,30Y
1.8824,2.1002,2.2328,2.5118,2.6949,2.8356,2.8604,3.2407
1.9801,2.0432,2.1362,2.4366,2.5968,2.7309,2.7613,3.1182
2.2000,2.2300,2.2517,2.3032,2.5566,2.6532,2.9221,3.6209
1.4500,1.5500,1.6551,2.1091,2.5678,2.6900,2.9300,3.5100
1.5023,1.6400,1.7200,1.9968,2.4687,2.6847,2.9200,3.5200
2.4238,2.4590,2.3826,2.4622,2.5342,2.6335,2.6375,2.9293
2.8715,2.8716,2.8999,3.1620,3.3009,3.4648,3.5658,4.1994
2.0719,2.1544,2.2395,2.5511,2.7392,2.8796,2.9170,3.2977
2.0823,2.0846,2.3655,2.6241,3.0301,3.2015,3.4001,4.1100
2.8475,2.8516,2.9073,3.1262,3.2510,3.4656,3.5803,4.2010
1.4650,1.5300,1.7100,2.0200,2.4300,2.6500,2.9000,3.5200
2.8141,2.8440,2.9063,3.1517,3.2906,3.4849,3.5942,4.2039
1.7113,1.8499,1.9721,2.2363,2.4256,2.6490,2.6825,3.0694
2.2189,2.2134,2.2534,2.5089,2.7800,3.2002,3.3766,4.1124
2.0429,2.1169,2.1973,2.5329,2.6976,2.8587,2.8920,3.2830
2.1032,2.2889,2.2077,2.4059,2.5354,2.6975,2.6877,3.0070
2.2929,2.3578,2.2051,2.4301,2.5325,2.6878,2.6938,2.9956
2.0818,2.1880,2.2778,2.5302,2.7003,2.8494,2.8556,3.2319
2.8648,2.8261,2.8595,2.9993,3.1498,3.4197,3.5242,4.1392
1.5200,1.6300,1.7100,2.2200,2.5200,2.7200,3.0000,3.5800
1.9283,2.0465,2.2091,2.4866,2.6690,2.7936,2.8158,3.1977
2.5447,2.5600,2.7753,2.7935,2.9569,3.0999,3.1267,3.7055
2.1446,2.1867,2.2819,2.4904,2.8137,3.0706,3.2760,4.1050
1.5000,1.5600,1.7300,2.0400,2.4600,2.6800,2.9300,3.5400
1.6208,1.6493,1.6800,1.8366,2.2930,2.5841,2.9343,3.7238
1.4889,1.6154,1.7254,2.0001,2.4804,2.7220,2.9200,3.5300
3.3377,3.4649,3.5800,3.9537,4.2231,4.3000,4.4612,4.9000
2.8617,2.8245,2.8834,3.0534,3.2636,3.4390,3.5332,4.1947
2.1002,2.1938,2.2728,2.5209,2.6882,2.8344,2.8577,3.2276
3.3675,3.4500,3.5551,3.9260,4.2096,4.2850,4.4400,4.8710
1.9833,2.0221,2.1560,2.4527,2.6152,2.7530,2.7852,3.1379
2.4051,2.4607,2.4572,2.7651,3.0454,3.2225,3.3402,4.1452
2.0132,2.1476,2.1979,2.4749,2.8256,3.0360,3.2709,4.0849
1.5100,1.6000,1.6900,2.1000,2.4900,2.7100,2.9120,3.5300
1.7600,1.8300,1.9910,2.4500,2.6800,2.9100,3.1729,3.8000
1.7204,1.8792,1.9790,2.3175,2.4795,2.6777,2.7065,3.0773
0.9700,1.0031,1.0845,1.2966,1.7954,2.1317,2.7043,3.6400
2.9410,3.0000,3.2000,3.5800,3.7482,3.8813,4.0244,4.3100
2.1870,2.1990,2.2500,2.4498,2.7335,3.1825,3.3718,4.1254
3.3483,3.4602,3.5651,3.9236,4.2128,4.2830,4.4374,4.8760
3.2971,3.3461,3.4665,3.8383,4.0672,4.2347,4.4213,4.7415
2.0105,2.1400,2.2453,2.3949,2.8090,3.0610,3.2850,4.1046
1.9049,2.0000,2.0353,2.3551,2.5211,2.6781,2.7010,3.0672
1.2480,1.2499,1.3547,1.6378,2.1071,2.5128,2.9053,3.7065
1.7205,1.8772,2.0188,2.3203,2.5007,2.6930,2.7205,3.0913
3.3122,3.4230,3.5624,3.9230,4.1732,4.2920,4.4342,4.8759
3.1800,3.2014,3.3250,3.6904,3.8520,4.0272,4.1632,4.5760
3.0200,3.0843,3.1466,3.6734,3.7864,3.8810,4.0116,4.3250
1.6300,1.7800,1.8963,2.3800,2.6515,2.7800,3.0800,3.7000
3.0410,3.0900,3.2700,3.6967,3.8533,4.0010,4.1350,4.5000
2.8342,2.8630,2.9179,3.1570,3.2958,3.4958,3.6060,4.2043
1.5650,1.7953,1.8375,2.2108,2.3650,2.5498,2.5649,2.9259
1.7028,1.8244,1.9390,2.2537,2.4549,2.6617,2.6926,3.0790
1.4856,1.6000,1.7003,2.1058,2.5631,2.6500,2.9200,3.5200
1.6009,2.0097,2.0801,2.3205,2.5039,2.6499,2.6375,2.9869
2.6469,2.6281,2.6275,2.9152,3.0614,3.2296,3.3364,4.1564
1.8015,2.0900,2.1027,2.3421,2.4620,2.6174,2.6075,2.9545
1.6455,1.7740,1.8384,2.2563,2.4502,2.6258,2.6413,3.0084
2.6216,2.6330,2.5566,2.8905,3.0972,3.2796,3.3578,4.1517
1.6508,2.0596,2.0874,2.3254,2.4986,2.6498,2.6350,2.9834
1.9699,2.1221,2.2287,2.4204,2.7656,3.0152,3.2502,4.0918
3.3294,3.4250,3.5789,3.9208,4.1784,4.2906,4.4137,4.8759
2.8588,2.8211,2.8872,2.9953,3.1902,3.4555,3.5589,4.1572
2.2056,2.2159,2.2610,2.4928,2.7346,3.1718,3.3619,4.1197
3.2683,3.3000,3.5467,3.9380,4.1471,4.2769,4.4332,4.8750
1.7665,1.8180,1.9950,2.4135,2.7151,2.9826,3.2300,3.8750
2.4762,2.4898,2.3971,2.5102,2.5952,2.6705,2.6725,2.9517
0.9503,0.9700,1.1020,1.3230,1.8084,2.1692,2.7521,3.6627
3.1632,3.2131,3.3900,3.7200,3.8723,3.9722,4.1561,4.4860
2.8299,2.8289,2.8436,2.9732,3.1688,3.4335,3.5403,4.1471
3.1694,3.2242,3.2850,3.7050,3.9654,4.0331,4.1768,4.3950
3.1660,3.2757,3.3500,3.7600,3.8539,3.9755,4.1308,4.5400
1.7970,1.8630,2.0100,2.4416,2.7363,2.9380,3.2000,3.8300
2.8795,2.8108,2.9424,3.0492,3.1902,3.4781,3.5585,4.1883
2.5269,2.5724,2.6806,2.9766,3.1063,3.2572,3.3928,4.1597
2.7662,2.7701,2.8551,2.9252,3.1436,3.4242,3.5204,4.1430
2.3715,2.4390,2.3889,2.5037,2.6012,2.7093,2.7108,2.9745
2.2118,2.3108,2.3277,2.6158,2.8648,3.1065,3.2921,4.1216
2.0114,2.0277,2.1905,2.4915,2.6710,2.8046,2.8332,3.1775
2.7569,2.7715,2.8994,2.9222,3.1439,3.4272,3.5407,4.1865
2.8534,2.8055,2.8633,2.9953,3.1259,3.4068,3.5010,4.1874
3.0395,3.0500,3.2450,3.6602,3.8546,3.9904,4.1210,4.5038
2.1389,2.1502,2.2891,2.4009,2.8106,3.0647,3.2759,4.1049
3.1600,3.2794,3.3500,3.7550,3.8161,3.9837,4.1307,4.5200
2.3368,2.3277,2.4196,2.6371,2.8192,3.2065,3.3614,4.1223
2.8793,2.8315,2.9341,3.0786,3.1994,3.5060,3.5644,4.1873
1.5100,1.6400,1.7200,2.1404,2.4655,2.6700,2.9400,3.5000
2.5434,2.6437,2.6690,2.7214,2.9944,3.1022,3.1522,3.9097
2.8636,2.8211,2.8690,2.9876,3.1881,3.4456,3.5483,4.1331
2.8934,2.8130,2.9220,3.0770,3.2148,3.4723,3.5350,4.2061
3.1974,3.3162,3.4350,3.7300,3.9420,4.0004,4.1744,4.5000
2.0605,2.2101,2.3291,2.5734,2.7374,2.8673,2.9017,3.3029
2.0708,2.2130,2.3230,2.5672,2.7387,2.8719,2.9026,3.3079
1.9300,1.9477,2.0670,2.2519,2.6066,2.7336,2.9984,3.7000
2.8854,2.8111,2.9050,3.0550,3.2115,3.4654,3.5293,4.2059
3.2812,3.3248,3.5577,3.9238,4.1995,4.2865,4.4135,4.8655
2.2556,2.2814,2.3517,2.6412,2.8404,3.2151,3.3825,4.1297
1.5420,1.6500,1.7100,2.2400,2.5430,2.7500,3.0200,3.6000
2.3172,2.4199,2.4134,2.6841,2.9762,3.1907,3.3029,4.1413
2.3114,2.3846,2.2501,2.4376,2.5299,2.6815,2.6853,2.9911
1.9919,2.0235,2.2016,2.4997,2.6852,2.8105,2.8319,3.2056
1.5319,1.8186,1.8305,2.2573,2.4216,2.6090,2.6381,2.9850
1.6601,2.0695,2.0952,2.3337,2.4930,2.6474,2.6375,2.9849
3.2658,3.4000,3.5755,3.9311,4.1738,4.2930,4.4736,4.9659
2.9800,3.0039,3.1846,3.6986,3.7958,3.8854,4.0404,4.3352
2.9275,2.8166,2.9764,3.0849,3.2291,3.4769,3.5672,4.2109
1.5683,1.6500,1.7000,2.2709,2.6200,2.7900,3.0500,3.6500
1.5027,1.7961,1.8245,2.2247,2.3772,2.5577,2.5759,2.9342
2.9203,2.9015,2.9848,3.0793,3.2228,3.4798,3.5668,4.2113
2.9050,2.9905,3.0980,3.6143,3.7640,3.8892,4.0451,4.3100
2.2904,2.3476,2.2505,2.4454,2.5329,2.6699,2.6632,2.9718
2.1802,2.2888,2.3107,2.5010,2.5982,2.7150,2.7052,2.9962
2.7184,2.7422,2.8121,3.0548,3.1495,3.3738,3.4525,4.1837
3.1905,3.2144,3.3750,3.7062,3.8644,4.0272,4.1588,4.5808
2.3874,2.3606,2.3367,2.4721,2.5691,2.6664,2.6680,2.9405
3.0019,3.0294,3.2232,3.7119,3.8807,3.9339,4.0770,4.3652
1.5000,1.5700,1.7100,2.0300,2.4000,2.6000,2.9100,3.5000
1.7009,1.9100,1.9051,2.2215,2.3996,2.5575,2.5575,2.9027
3.1319,3.1950,3.4000,3.7066,3.9541,4.0375,4.1643,4.7050
