3M,6M,1Y,2Y,5Y,10Y,15Y,20Y,30Y
0.27,0.29,0.29,0.3,0.41,1.38,1.96,2.11,2.42
0.26,0.27,0.27,0.19,0.36,1.56,2.22,2.44,2.8
0.25,0.26,0.25,0.24,0.41,1.39,1.97,2.12,2.46
0.29,0.3,0.28,0.31,0.41,1.37,1.94,2.11,2.42
0.23,0.25,0.26,0.27,0.32,1.34,1.99,2.16,2.54
0.25,0.28,0.28,0.25,1.03,2.68,3.14,3.27,3.38
0.25,0.25,0.25,0.22,0.42,1.44,1.76,2.13,2.47
0.23,0.26,0.26,0.27,0.35,1.29,1.9,2.06,2.41
0.26,0.26,0.25,0.23,0.4,1.35,1.94,2.09,2.43
0.25,0.28,0.28,0.25,1.08,2.7,3.17,3.43,3.51
0.25,0.27,0.27,0.29,0.33,1.39,2.03,2.2,2.58
0.25,0.28,0.26,0.27,1.1,2.14,2.73,2.87,3.13
0.24,0.25,0.26,0.16,0.49,1.41,1.99,2.18,2.58
0.25,0.27,0.26,0.31,0.98,1.85,2.43,2.59,2.93
0.25,0.28,0.28,0.24,1.04,2.65,3.13,3.25,3.35
0.26,0.26,0.27,0.28,0.31,1.3,1.91,2.09,2.42
0.23,0.26,0.26,0.29,0.33,1.33,1.93,2.09,2.43
0.25,0.28,0.26,0.28,1.1,2.17,2.74,2.86,3.06
0.26,0.29,0.28,0.21,0.83,2.45,2.94,3.09,3.19
0.24,0.25,0.26,0.19,0.49,1.41,1.96,2.15,2.56
0.23,0.25,0.26,0.27,0.34,1.36,2.02,2.19,2.6
0.26,0.26,0.27,0.21,0.37,1.54,2.19,2.4,2.78
0.25,0.27,0.26,0.31,0.98,1.85,2.43,2.59,2.93
0.25,0.27,0.26,0.26,1.01,2.09,2.65,2.78,2.99
0.25,0.27,0.27,0.19,0.35,1.58,2.26,2.47,2.81
0.26,0.27,0.27,0.27,0.47,1.59,2.26,2.46,2.83
0.24,0.25,0.26,0.17,0.36,1.5,2.14,2.36,2.75
0.23,0.26,0.27,0.27,0.4,1.36,1.95,2.11,2.44
0.25,0.28,0.26,0.28,1.1,2.17,2.74,2.86,3.06
0.25,0.26,0.27,0.24,0.57,1.56,2.22,2.44,2.8
0.23,0.26,0.26,0.3,0.36,1.35,1.97,2.12,2.46
0.28,0.29,0.28,0.26,0.42,1.47,2.03,2.2,2.51
0.26,0.28,0.28,0.22,0.88,2.46,2.99,3.17,3.29
0.24,0.28,0.28,0.25,1.09,2.66,3.07,3.38,3.46
0.23,0.26,0.26,0.3,0.36,1.35,1.97,2.12,2.46
0.25,0.27,0.27,0.28,0.41,1.3,1.91,2.09,2.43
0.23,0.26,0.26,0.3,0.36,1.35,1.97,2.12,2.46
0.24,0.27,0.27,0.26,0.38,1.33,1.93,2.09,2.39
0.24,0.25,0.26,0.18,0.5,1.42,1.97,2.17,2.57
0.23,0.26,0.26,0.3,0.36,1.35,1.97,2.12,2.46
0.26,0.26,0.26,0.17,0.38,1.44,1.72,2.06,2.44
0.24,0.25,0.26,0.27,0.32,1.35,1.99,2.16,2.55
0.24,0.28,0.26,0.33,0.8,1.71,2.33,2.54,2.92
0.29,0.3,0.29,0.26,0.41,1.45,2.01,2.18,2.5
0.25,0.28,0.27,0.3,0.96,1.81,2.39,2.56,2.9
0.25,0.27,0.26,0.31,0.98,1.85,2.43,2.59,2.93
0.25,0.27,0.27,0.3,0.34,1.4,2.03,2.21,2.57
0.24,0.25,0.26,0.27,0.32,1.35,1.99,2.16,2.55
0.29,0.3,0.28,0.26,0.43,1.48,2.04,2.22,2.53
0.25,0.27,0.27,0.19,0.35,1.58,2.26,2.47,2.81
0.24,0.26,0.26,0.27,0.64,1.56,2.19,2.41,2.79
0.24,0.25,0.26,0.17,0.36,1.5,2.14,2.36,2.75
0.24,0.25,0.26,0.19,0.49,1.41,1.96,2.15,2.56
0.26,0.29,0.28,0.2,1.08,2.47,2.88,3.01,3.07
0.24,0.25,0.26,0.2,0.47,1.37,1.92,2.13,2.54
0.25,0.25,0.26,0.21,0.54,1.52,2.13,2.35,2.72
0.25,0.26,0.26,0.29,0.33,1.34,1.96,2.13,2.48
0.26,0.29,0.28,0.22,0.89,2.47,2.95,3.08,3.17
0.24,0.28,0.28,0.26,1.13,2.69,3.12,3.43,3.51
0.25,0.29,0.29,0.23,1.02,2.59,3.09,3.21,3.33
0.25,0.27,0.27,0.27,0.4,1.36,1.94,2.11,2.44
0.24,0.25,0.26,0.19,0.49,1.41,1.96,2.15,2.56
0.25,0.29,0.27,0.43,1.61,2.77,3.24,3.33,3.41
0.25,0.26,0.27,0.29,0.43,1.48,2.21,2.35,2.76
0.25,0.27,0.27,0.27,0.4,1.35,1.94,2.11,2.44
0.24,0.25,0.25,0.2,0.49,1.4,1.96,2.15,2.57
0.25,0.26,0.26,0.3,0.36,1.45,2.09,2.26,2.61
0.24,0.25,0.26,0.18,0.5,1.42,1.97,2.17,2.57
0.26,0.29,0.28,0.21,0.83,2.45,2.94,3.09,3.19
0.26,0.27,0.27,0.28,0.46,1.54,2.26,2.42,2.81
0.26,0.29,0.28,0.19,0.98,2.51,2.95,3.05,3.1
0.26,0.27,0.27,0.29,0.46,1.54,2.25,2.41,2.81
0.26,0.27,0.27,0.28,0.46,1.54,2.26,2.42,2.81
0.24,0.25,0.26,0.19,0.49,1.42,1.98,2.16,2.57
0.25,0.27,0.27,0.29,0.33,1.39,2.03,2.2,2.58
0.25,0.26,0.25,0.21,0.39,1.33,1.9,2.07,2.41
0.25,0.27,0.26,0.28,0.33,1.4,2.04,2.21,2.59
0.26,0.28,0.28,0.22,0.88,2.47,2.98,3.17,3.28
0.26,0.27,0.27,0.27,0.47,1.61,2.3,2.49,2.85
0.24,0.28,0.28,0.25,0.96,2.47,2.94,3.31,3.36
0.25,0.27,0.27,0.27,0.4,1.33,1.92,2.09,2.42
0.26,0.28,0.28,0.22,0.88,2.52,3.01,3.18,3.29
0.26,0.29,0.28,0.19,0.98,2.51,2.95,3.05,3.1
0.25,0.26,0.27,0.29,0.43,1.48,2.21,2.35,2.76
0.23,0.26,0.26,0.27,0.35,1.32,1.94,2.1,2.44
0.29,0.31,0.29,0.31,0.41,1.41,1.99,2.16,2.47
0.26,0.26,0.26,0.17,0.38,1.44,1.72,2.06,2.44
0.26,0.29,0.28,0.22,0.87,2.44,2.91,3.04,3.12
0.24,0.26,0.27,0.31,0.39,1.4,2.12,2.29,2.73
0.25,0.26,0.25,0.22,0.41,1.39,1.94,2.11,2.44
0.24,0.25,0.26,0.17,0.36,1.5,2.14,2.36,2.75
0.24,0.24,0.24,0.17,0.41,1.36,1.63,1.96,2.31
0.25,0.28,0.26,0.28,1.1,2.17,2.74,2.86,3.06
0.25,0.27,0.27,0.27,0.4,1.33,1.92,2.09,2.42
0.26,0.27,0.27,0.29,0.46,1.54,2.25,2.41,2.81
0.24,0.25,0.25,0.21,0.49,1.47,2.02,2.22,2.63
0.24,0.25,0.26,0.27,0.31,1.34,1.98,2.15,2.54
0.26,0.27,0.27,0.27,0.47,1.59,2.26,2.46,2.83
0.29,0.3,0.29,0.26,0.41,1.45,2.01,2.18,2.5
