3 Mo,6 Mo,1 Yr,5 Yr,10 Yr,15 Yr,20 Yr,30 Yr
0.26,0.28,0.28,0.96,2.45,3.01,3.17,3.29
0.27,0.29,0.29,0.4,1.34,1.94,2.1,2.4
0.25,0.26,0.26,0.85,1.83,2.42,2.58,2.91
0.23,0.27,0.28,0.39,1.33,1.92,2.08,2.38
0.25,0.26,0.25,0.4,1.43,1.76,2.13,2.46
0.25,0.25,0.26,0.54,1.52,2.13,2.35,2.72
0.26,0.28,0.28,0.86,2.45,2.96,3.15,3.27
0.24,0.26,0.26,0.89,1.81,2.4,2.56,2.89
0.24,0.26,0.26,0.38,1.39,2.1,2.26,2.7
0.23,0.23,0.23,0.43,1.43,1.7,2.04,2.37
0.24,0.26,0.26,0.54,1.54,2.19,2.4,2.77
0.25,0.27,0.27,0.4,1.35,1.94,2.11,2.44
0.23,0.25,0.26,0.31,1.32,1.96,2.13,2.52
0.26,0.28,0.28,0.88,2.52,3.01,3.18,3.29
0.24,0.26,0.27,0.37,1.32,1.91,2.08,2.39
0.26,0.28,0.28,1.12,2.55,2.97,3.07,3.13
0.26,0.29,0.28,1.1,2.43,2.78,2.9,2.97
0.17,0.29,0.26,0.33,1.33,1.93,2.09,2.43
0.26,0.27,0.27,0.46,1.54,2.25,2.41,2.81
0.24,0.28,0.28,1.14,2.67,3.11,3.42,3.51
0.24,0.25,0.26,0.49,1.41,1.96,2.15,2.56
0.24,0.25,0.25,0.49,1.47,2.01,2.21,2.62
0.29,0.3,0.29,0.42,1.44,2.0,2.17,2.49
0.26,0.26,0.27,0.34,1.55,2.22,2.43,2.78
0.24,0.25,0.26,0.51,1.46,2.05,2.28,2.66
0.26,0.27,0.27,0.37,1.57,2.22,2.44,2.81
0.24,0.26,0.27,0.39,1.4,2.12,2.29,2.73
0.26,0.29,0.28,0.87,2.44,2.91,3.04,3.12
0.25,0.26,0.25,0.39,1.33,1.9,2.07,2.41
0.25,0.27,0.27,0.34,1.4,2.03,2.21,2.57
0.24,0.26,0.26,0.49,1.45,1.99,2.18,2.6
0.25,0.28,0.28,1.03,2.68,3.14,3.27,3.38
0.24,0.26,0.27,0.35,1.38,2.06,2.23,2.64
0.23,0.26,0.26,0.36,1.35,1.97,2.12,2.46
0.26,0.27,0.27,0.36,1.56,2.22,2.44,2.8
0.23,0.26,0.26,0.32,1.33,1.94,2.1,2.44
0.25,0.29,0.29,1.03,2.63,3.14,3.28,3.4
0.26,0.28,0.28,0.85,2.34,2.86,3.01,3.15
