t,1M,6M,1.0Y,2.0Y,3.0Y,5.0Y,10.0Y,20.0Y,25.0Y
1,0.05773355354,0.06438190656,0.06714223473,0.06499070545999999,0.06153406099,0.05572294025,0.04086540302,0.033643051040000004,0.03990752479
2,0.05768001933,0.06450607346,0.06750178165000001,0.06542338415,0.06230142078,0.056924430570000004,0.04128601958,0.03317605982,0.04022723309
3,0.05775772739,0.06440976906000001,0.06735365439,0.06557740912,0.06261085741,0.05709668055,0.041110419780000004,0.032150859010000005,0.03863944298
4,0.05743048815,0.06410330448,0.0669417781,0.06490433509,0.062006298419999994,0.05660769378,0.040649349079999994,0.030798782309999998,0.03721409929
5,0.057411888419999994,0.06397821002,0.06635750975,0.06416799392,0.06126186252,0.05582034841,0.040046859819999996,0.029614636550000004,0.035996875739999996
6,0.057214066710000004,0.06452250475,0.06695111329,0.06497258131,0.062196532080000005,0.05687918895,0.040349527180000004,0.0290319266,0.035999213120000005
7,0.05735542757,0.06467155119,0.06699897107,0.06524918894,0.06263635016,0.05746005157,0.041583324309999996,0.031084358929999997,0.037257992340000004
8,0.056792808609999995,0.0644639388,0.06660943936,0.06467492395,0.06187363957,0.05634939814,0.04088880313,0.030874555419999998,0.03630485359
9,0.05657225709,0.06436761153,0.06672575918,0.06490413428,0.062203030789999995,0.056949103269999996,0.04135964149,0.03072308411,0.036431506009999996
10,0.056577946700000006,0.06471826845,0.06725887764,0.06553676387,0.06279927844000001,0.05749486995,0.04178620383,0.030990262890000002,0.03690887704
11,0.05686517621,0.06490911971,0.06781643493,0.06649148413,0.06395293067,0.05872690788,0.04238788267,0.03152740357,0.037841165659999995
12,0.057089615399999995,0.06433825746,0.0672328915,0.06605023345,0.06341245691,0.0579498725,0.04220326144,0.03218454173,0.038006849100000004
13,0.05737086399,0.06444666018999999,0.06737403563,0.06648515224,0.06402510932,0.058553192479999995,0.04247361081,0.03318124128,0.03970632824
14,0.05780795424,0.06420984159,0.06724096372,0.06620755828,0.06362929120000001,0.058125002270000004,0.04262255045,0.033567071579999996,0.03948392019
15,0.057874258000000005,0.06412547647,0.06705731236,0.06612553819,0.06355388378,0.05796459951,0.04231895139,0.03345819064,0.03939037252
16,0.05797077744,0.06392202469,0.06668237236,0.0655662632,0.06288113658,0.05709472179,0.04136969165,0.03227519433,0.03834036463
17,0.058017208169999994,0.06337003817,0.06609340275,0.06517537764,0.062713409,0.05724650725,0.04179923722,0.03267344139,0.03826379062
18,0.05811044959,0.06408343543,0.06697214993,0.06607871828,0.0636922968,0.058399013699999995,0.042503724490000006,0.03369426271,0.03955075062
19,0.05834761941,0.06431813229,0.06723116773,0.06637526067999999,0.06401015741,0.0586603882,0.042620854689999994,0.03366046861,0.03978964132
20,0.05912222232,0.06390832672,0.06660814724,0.06553991967,0.06300652824,0.05743064919,0.04136520942,0.03247529112,0.03857036899
21,0.05898354357,0.06343796803,0.06581698416,0.0645399113,0.06170251113,0.05566404906,0.040219513559999996,0.03176355283,0.03706500158
22,0.05853236463,0.06294987810000001,0.06547705313,0.06464830394,0.06198853172,0.05596278014,0.04054638071,0.03206631761,0.03698977468
23,0.05876465639,0.06279786221,0.06534159223,0.06445896822,0.061636468750000006,0.05530145986,0.03939341933,0.030837595449999998,0.035944949159999996
24,0.05888950563,0.06326741547,0.06589007608,0.06503911022,0.06242752445,0.05640789327,0.04000585011,0.03126833662,0.03688899663
25,0.059059832869999995,0.06355420329,0.06613223386,0.0652362632,0.06271444930999999,0.05669086788,0.039693980350000005,0.0312047289,0.03699759678
26,0.059298547539999996,0.06319762446,0.06563812895,0.06488640076,0.06235237307,0.056271941969999996,0.03938834074,0.03088708774,0.03610225492
27,0.059183908589999994,0.06333727799,0.06573113994,0.06508300451,0.06270015313,0.056739359069999995,0.03972244998,0.03284616664,0.037912085389999996
28,0.05901602079,0.06334531537,0.06561311023,0.06503978926000001,0.06286056283,0.05724472566,0.04052399215,0.03321812986,0.03768224689
29,0.059086402270000005,0.06273506139,0.0648720908,0.06421244875,0.062074887360000004,0.05678512545,0.041122344369999994,0.03435318028,0.03820011837
30,0.05894180705,0.062331744970000005,0.06388809051,0.0631932958,0.06117409452000001,0.05611985796,0.0410368135,0.03438959228,0.037827372
31,0.05892895932,0.06281296495000001,0.06432145997,0.06346019989,0.06130567999,0.05613808983,0.04084746136,0.03366257298,0.03737434968
32,0.05926470175,0.06417702665,0.06577947195,0.06474866611999999,0.06243966594,0.05707358859,0.04118240153,0.03417822877,0.03925188984
33,0.05922579408,0.06368105969,0.0649424713,0.06414638926,0.06205629934,0.05681734828,0.04091763945,0.03356088637,0.03883875891
34,0.05884117193,0.06357333747,0.06479650851,0.06391306669999999,0.06168216535,0.05617617567,0.04006762631,0.032604527349999995,0.038118408549999996
35,0.05875160388,0.06322437485,0.06412111331,0.0631136546,0.060827436820000004,0.05526675464,0.03929626787,0.032120525149999996,0.03750214205
36,0.05900304863,0.06281224648,0.06371767968,0.06229899416,0.05966810652000001,0.05392606898999999,0.0390156002,0.03186850161,0.03641138528
37,0.05890880211,0.06315500116,0.06401153502,0.06245364426,0.05975228505999999,0.054059798490000005,0.03946653414,0.03209875677,0.03651096518
38,0.059173831870000006,0.06285744992,0.06360638083,0.06173914015,0.05868223981,0.052669318140000004,0.03878244469,0.03177096118,0.03562109484
39,0.05907097073,0.06311875653,0.06379403688,0.061712042509999995,0.05860090371,0.05250573273,0.038596976820000004,0.03170398153,0.0355597444
40,0.05904309145,0.06317849519,0.0639576215,0.06203586001,0.05890160776,0.052722986609999994,0.03855609324,0.031824347409999995,0.03582830041
41,0.05887014102,0.06328484497,0.06426155189,0.06251050288,0.05961588708,0.053822921790000006,0.0398272051,0.03313712122,0.03693564854
42,0.058896906930000006,0.06279185132000001,0.06366191881,0.062094128629999995,0.05930099393,0.053610243960000005,0.03955633337,0.032605533140000004,0.03649215984
43,0.05904806773,0.06281304778,0.06377198358,0.06236499301,0.059710893949999996,0.05405089683,0.03943058863,0.03170993641,0.03607384725
44,0.059132458469999996,0.06267733929000001,0.06342619022,0.061921420559999996,0.059050929769999996,0.053026019800000004,0.03864424219,0.03116163115,0.0350165813
45,0.05899606554,0.06233654846,0.06308608546,0.061455869319999995,0.05848684253,0.05235605635,0.03816303767,0.03064767333,0.03448607409
46,0.059016615120000004,0.06237107546,0.06298727465,0.061322677920000006,0.05833010508,0.052038943059999995,0.03774112821,0.03055530793,0.03430954373
47,0.05900615536,0.06243075218000001,0.06305306308,0.061497184159999996,0.058535301080000005,0.052228002169999996,0.03809344566,0.031122990819999998,0.03458316135
48,0.05878739157,0.06250693842999999,0.06289020589,0.061179209109999994,0.0580780138,0.051629172939999995,0.03824859895,0.03173181163,0.03453666573
49,0.05856087928,0.06272393094,0.06319701213000001,0.06142836914,0.05839892915,0.05218948039,0.038977690169999996,0.03269229272,0.03516738765
50,0.05883821105,0.06264230153,0.0629615551,0.06127674556,0.05832566653,0.05213243554,0.03885466698,0.03247599261,0.03476654974
51,0.05880095214,0.06306341898000001,0.0633349514,0.06146631332,0.05848103772,0.05241935173,0.03885842773,0.031892964780000005,0.0346965534
52,0.058678315530000004,0.06331027305,0.06359969131,0.06146411238,0.05834276763,0.05208703332,0.038194836419999996,0.03111447756,0.03406079728
53,0.05850560145,0.0630761656,0.0630323348,0.06064884122,0.05729104754,0.05066333687,0.03735506982,0.03117787209,0.03365801964
54,0.0581844603,0.06317788296,0.06300536855,0.06029062855,0.05676734196,0.050007966870000004,0.03695553307,0.03102987776,0.0333306258
55,0.058124364049999995,0.0629452268,0.06281490265,0.06023065636,0.056920855140000004,0.05060329302,0.037609762660000004,0.03128715458,0.03362409092
56,0.057751593559999995,0.06300769966,0.06295595596,0.06034066669,0.05703155986,0.05085868545,0.03804723665,0.031146696999999997,0.03336468852
57,0.057928296819999996,0.06294917328,0.06317916438,0.06068887932,0.05757267781,0.05191501052,0.03933947872,0.03218005788,0.03451609126
58,0.057890597460000005,0.06302110279,0.06366831019000001,0.06085622014,0.05730055502,0.05104227613,0.03862484997,0.03262114811,0.03488242537
59,0.057935252310000004,0.06301876284999999,0.06363299312,0.06095923767999999,0.057505176809999996,0.05134640605,0.03852059118,0.03257816106,0.03571547356
60,0.05836628618,0.0641916095,0.06532409163,0.062617113,0.0590206515,0.052557400330000004,0.03909128055,0.03350494564,0.03693078311
61,0.05847420615,0.06383648012,0.06482473069,0.062072048850000006,0.05850590716,0.05214651796,0.03879575989,0.033795427419999996,0.03726750576
62,0.05837058626,0.06374146775,0.06480868806000001,0.06209452835,0.05855031712,0.052143836859999994,0.038961413390000005,0.03435666887,0.037431453600000004
63,0.05870718029,0.06346095845,0.06437138696,0.06142790483,0.05768378625000001,0.05115933272999999,0.03883572039,0.03441197095,0.036683340950000004
64,0.05885060612,0.06346234247,0.06427983221,0.06126540303,0.05743385562,0.05090470505,0.03906620662,0.03531986274,0.03787112434
65,0.05873068152,0.06320388791,0.06371119334,0.06072679773,0.05693967089,0.05042855191,0.03859851165,0.03461617765,0.03738214652
66,0.058713444719999994,0.0635689088,0.06393654373,0.06086091524000001,0.0571367862,0.05080291692,0.03877698938,0.03427601298,0.037450546130000005
67,0.058546305070000006,0.06297969314,0.06338288555,0.06019743713,0.05623211047,0.04969805841,0.0380936053,0.033672215570000004,0.03670252424
68,0.05867825898,0.06318618471,0.06367773891,0.06088609244,0.05708017269,0.050631401560000004,0.03908751074,0.03453586406,0.03766503651
69,0.058810212890000005,0.06269516861999999,0.06313398351,0.060229754079999996,0.05639457705,0.04994665461,0.03859081264,0.03431106453,0.037324215779999996
70,0.05870930495,0.06273823953,0.06329288764,0.060564609469999996,0.056810419349999995,0.050379959120000005,0.03893341846,0.03437781437,0.037378034649999996
71,0.05865330865,0.062307872910000006,0.06270864869000001,0.060137172110000005,0.05645584127,0.05010001521,0.03911626236,0.03451406172,0.03708175858
72,0.05884460799,0.0624571378,0.06304272142,0.06049065065,0.05672082862,0.050269106710000004,0.03961924444,0.03491142138,0.037026961489999996
73,0.05863180934,0.06231709524,0.06277994236,0.06050944682,0.057058133409999996,0.0509976101,0.04062275884,0.03625363118,0.03800062556
74,0.058878652860000005,0.062262076400000005,0.06287084723,0.06059595274,0.05720254276,0.05121282025,0.0405752998,0.03612725128,0.0381603939
75,0.058911502789999994,0.06192075509,0.06259038071,0.06060116634,0.05736890074,0.051604633590000004,0.04081386424,0.03594365209,0.03817337419
76,0.05889522204,0.06209376899999999,0.06274594232,0.060630447680000005,0.05726200039,0.05130082401,0.04057169464,0.035958301320000004,0.03810886385
77,0.05970838181,0.06227863644,0.06291639906,0.0607818274,0.057405409260000005,0.0513983626,0.04046221092,0.03600371493,0.0384551785
78,0.05954706795,0.06263208617,0.06324905017,0.06091962596,0.05748973063,0.05147233476,0.04031519909,0.03568790665,0.03843465863
79,0.059569928540000004,0.06275927089,0.06344835045,0.061183753630000004,0.05788964763,0.052060166309999996,0.04065316038,0.03564082371,0.0387331068
80,0.05973353209,0.06211645939,0.06296331302,0.06049627716,0.05724203228,0.05166904109,0.040275144230000004,0.03525290527,0.03853475359
81,0.05972338136,0.06193823139,0.06242675933,0.05982960372,0.05663686027,0.051294992920000004,0.03993378551,0.03494890511,0.038451971349999996
82,0.05944543575,0.06147725634,0.0615222387,0.058912391480000006,0.055871898350000004,0.050808530000000005,0.03931322239,0.03395628764,0.03759885096
83,0.05977181749,0.0614458252,0.06150336863,0.05888180548,0.05589293897,0.05109914999,0.03980981785,0.03409812159,0.03793090265
84,0.059324312309999995,0.06152885538,0.06165185811,0.05879038001,0.055763592720000005,0.051143077640000006,0.04039368048,0.03467886187,0.038202560829999996
85,0.05896496509,0.06211630747,0.06246318912,0.05960860308,0.05666099874,0.05235258424000001,0.04164691683,0.0355497304,0.039145048880000005
86,0.058996213400000004,0.062305808489999996,0.0628402738,0.05993730546,0.05698042416,0.05276654406,0.04189508195,0.0352030399,0.03883959015
87,0.05898179539,0.06234855415,0.06295617971,0.059750106770000005,0.05653975193,0.052098935500000006,0.04126103346,0.0348691537,0.0384853676
88,0.05918977899,0.06202663396,0.06261739497,0.0594071587,0.05612458762,0.051535598179999996,0.04070307291,0.03397057096,0.03725078869
89,0.058851650219999996,0.061983685059999995,0.06254548219,0.05950156040000001,0.056295334520000004,0.051563798370000004,0.04046581851,0.03364106063,0.03684881996
90,0.05899755633,0.06308256364,0.06377927383,0.06061314164,0.05739512008,0.05267640209,0.04138326925,0.03344347708,0.03598918382
91,0.059237812439999996,0.06335164348,0.06411422662999999,0.06072786557,0.057346814239999995,0.05247744645,0.041466814139999995,0.033931334880000004,0.036279002149999996
92,0.05948598409,0.06323432307,0.06408471548,0.060595253390000006,0.056930380850000004,0.051630938200000004,0.040731577320000004,0.03396235359,0.03638793022
93,0.0590761307,0.06350332789,0.06433161496,0.060528455939999996,0.056641397180000004,0.0510831661,0.040433730529999996,0.03368145348,0.03604314457
94,0.05897945016,0.06311209462,0.06431852952,0.0613090372,0.057891239409999996,0.05261032383,0.04189839706,0.03422107535,0.03625464585
95,0.05825780965,0.06246833087,0.06372335164,0.061353814629999996,0.058416497510000005,0.053649771719999996,0.04285769028,0.03390673956,0.03576600929
96,0.05836887702,0.06192027769,0.06348182185,0.061428545,0.058678416049999994,0.05402744794,0.042794224410000005,0.033904127640000004,0.03628422916
97,0.05829566489,0.06142167042,0.06281172609,0.060789550070000004,0.05797481808,0.0531238506,0.041991409849999994,0.033833246670000004,0.03641535176
98,0.05840825581,0.06196961951,0.06348766892,0.061317046709999996,0.05829743638,0.053170169600000004,0.04215927998,0.03442985977,0.03705003105
99,0.05864856541,0.06196818345,0.06355263054,0.06111681599,0.057851965080000005,0.052464528499999996,0.042042580249999996,0.033955565039999996,0.03394288922
100,0.05819638255,0.06179897788,0.06311984275999999,0.06051053839,0.057089628479999995,0.05139064521,0.041187367229999994,0.03453670208,0.03404242122
101,0.058400544,0.061783588199999996,0.06297195773,0.059895000420000004,0.05612988737,0.050131437419999994,0.040401032389999994,0.03439733542,0.03350507598
102,0.05822710678,0.062187914270000005,0.06331586639,0.060107496649999995,0.05635549803,0.050398014729999996,0.040246851,0.03400701842,0.03335785159
103,0.05861056033,0.0619176497,0.06289262465,0.05951764731,0.05554756084,0.04941147872,0.03973688598,0.03376125028,0.03291411634
104,0.05830369959000001,0.061732636789999996,0.06265466541,0.05899611441,0.054961688310000006,0.048913073110000004,0.0397855832,0.03438558699,0.03345470143
105,0.058473050730000004,0.06079152172,0.06166052314,0.057968438659999996,0.05386860206,0.04788704903,0.03969039703,0.03476224381,0.03328615519
106,0.058457082390000005,0.06125039676,0.06212276131,0.05828792577,0.054140899879999996,0.04813368603,0.040294692039999996,0.03555342893,0.03369119387
107,0.058139764850000004,0.06145980223,0.06210489453,0.05838084801,0.05447725299,0.048795606899999996,0.04013717184,0.03455438944,0.03347768392
108,0.058046630190000004,0.06115291181,0.062019230360000004,0.058425393730000004,0.05454476044,0.04890366961,0.03998104539,0.03401312495,0.03313229808
109,0.05834133722,0.061614675869999996,0.062475252519999996,0.05894763679000001,0.05509790941000001,0.049447997150000006,0.04003132751,0.03411047739,0.03372637696
110,0.05867924518,0.06144361013,0.06225766818,0.058551504430000005,0.054608759109999995,0.048905671399999996,0.03958992629,0.0340581164,0.033728272000000004
111,0.058427807899999996,0.061735545739999995,0.06213658842,0.05839403652,0.05445277339000001,0.04874573939,0.03964624268,0.03440352812,0.033914221200000004
112,0.05841050051,0.06149055413,0.06219941237,0.05832046312,0.05432304748,0.04864678294,0.03993506574,0.03523910369,0.034458906649999996
113,0.05817035007,0.06049412857,0.061286616079999995,0.058327014659999996,0.05488362401,0.04947735125,0.04038961407,0.03494062966,0.03401165143
114,0.05807903045,0.060339839189999994,0.06086787101,0.058094986950000004,0.05492531501,0.050038381369999996,0.041398256450000004,0.03534175366,0.03438385374
115,0.0581795005,0.05996921655,0.06048738645,0.057347248850000004,0.05385513396,0.048657529469999995,0.04089142815,0.03541468563,0.03367170574
116,0.05835913928,0.05940630176,0.0601093338,0.057279632180000005,0.0539980801,0.04906451679,0.04124137671,0.0354383391,0.0337452161
117,0.058193063040000007,0.05964385158,0.060239615669999996,0.05749835757,0.054362102749999995,0.049663823909999995,0.04175304458,0.03582491664,0.034392121160000004
118,0.05842056317,0.06027513155,0.06100279473,0.058204458910000006,0.055204780720000006,0.050878295319999996,0.042745800689999995,0.03612520968,0.035445128810000004
119,0.05823240767,0.060286293430000006,0.06080330516,0.05796391935,0.05498266279,0.05069625718,0.04225453876,0.03571001545,0.03526987163
120,0.05842894188,0.0605622785,0.06118907957,0.058298365399999996,0.055400247580000006,0.05122680315,0.04248625892,0.03582973157,0.03559515689
121,0.0582859123,0.06058908965,0.0612441299,0.058366330279999996,0.05531049974,0.05072256033999999,0.04179917605,0.03540284584,0.035361974250000004
122,0.058542154670000006,0.06030861032,0.061165875950000004,0.05857908085,0.055590177660000004,0.05085233316,0.04176889714,0.035743062879999996,0.0357323763
123,0.05832522474,0.06037488875,0.06117489775,0.058558986810000005,0.0555429403,0.05071017006,0.041373334660000004,0.03557726981,0.03565797897
124,0.05839716977,0.060056355129999996,0.06036528326,0.05779599282,0.05488881067,0.05020074382,0.041055045469999996,0.03525846156,0.0353341835
125,0.05833438704,0.06004731174,0.060363368519999995,0.05766560822,0.05474754496,0.050210980249999995,0.04128265924,0.03533977631,0.03554939836
126,0.05804210396,0.0601313472,0.06050454109,0.05781494017,0.055026050619999996,0.050739918690000003,0.04165666838,0.03486449454,0.0355189237
127,0.05809110497,0.059661658529999995,0.060000882979999996,0.057393226000000006,0.05466074008,0.05042774806,0.0413766369,0.03466800673,0.03536555247
128,0.05815980184,0.058964724339999997,0.059418988390000003,0.0569753679,0.054248850700000004,0.04992430005,0.04142934257,0.03511564811,0.0352955501
129,0.05783389907,0.05968760737,0.05982226615,0.05729379866999999,0.05478275215,0.05083767844,0.04175406209,0.03479123125,0.03548747324
130,0.05795255163,0.059068963200000005,0.059216119770000006,0.05660311969,0.05401063188,0.050008514999999996,0.04151795433,0.03496181104,0.03514474787
131,0.05820714958,0.05927022791,0.059516363620000005,0.05704995560000001,0.05457372916,0.05069508212,0.04201755645000001,0.03512927332,0.03558874849
132,0.05825669927,0.05952665498,0.059781354679999996,0.057049850500000006,0.054299504299999996,0.05014635675,0.0417783443,0.035043320339999996,0.03536985345
133,0.058115550569999994,0.05898539737,0.059400444979999995,0.05682332207,0.054149206809999996,0.05015017383,0.04218034008,0.035430654320000005,0.03560620661
134,0.05797594675,0.05920777481,0.05944349445,0.05667933511,0.05401919038,0.05020245331,0.04260412074,0.03570831116,0.03571923716
135,0.05808416723,0.059185447179999996,0.05964757791,0.05719050851,0.05484238643,0.05141224291,0.042997982080000004,0.03485219039,0.035603502950000004
136,0.058232157119999996,0.0595370057,0.05977626698,0.057373481760000004,0.0550664156,0.05155372772,0.043110598089999994,0.03524023783,0.03593992071
137,0.058380147019999995,0.05931234957,0.05997575351,0.057690034829999993,0.05517072207,0.05122219664,0.04261625532,0.03514130989,0.03579067476
138,0.05829828396,0.05944135223,0.060157687280000004,0.0576387383,0.05491631891,0.05069792168,0.0419387559,0.03464735135,0.03541129908
139,0.05832274203,0.05986233168,0.060581386310000006,0.05806665187,0.05516924057,0.050381864490000004,0.04094672868,0.034087497689999996,0.03513175505
140,0.05854980909,0.06006801712,0.06053065562,0.0576774024,0.05461464875,0.049720161469999996,0.040619343030000005,0.034143154849999996,0.0349227651
141,0.058382516630000006,0.06035374204,0.06096088893,0.05794698996,0.05479695653,0.04980127609,0.04068220382,0.03437721873,0.03513850616
142,0.058267637170000004,0.060161008880000005,0.060531063520000004,0.05752172997,0.05448678853,0.049756596210000004,0.04084975771,0.03424195206,0.03501690732
143,0.058328882049999996,0.05950474299,0.06000968385,0.05731132917,0.05437628629,0.04969611168,0.04111060651,0.03459552724,0.03501031736
144,0.05826251184,0.05963267469,0.05998223603,0.05733489165,0.05448096487,0.0498524983,0.04168744486,0.03501418537,0.03526951304
145,0.05850539562,0.06003854386,0.06066233678,0.058290936450000004,0.055520350479999994,0.0508696383,0.04218929072,0.03507398213,0.03566880854
146,0.059043076699999995,0.060130475929999996,0.060578449369999995,0.05803171567,0.05527869771,0.050817665209999995,0.04239335811,0.03515661149,0.03565595826
147,0.05892616688999999,0.06039869789,0.060757877269999996,0.057919005940000004,0.05503618529,0.050428248020000004,0.04245189218,0.03580908325,0.03556810912
148,0.058695228620000005,0.06054598244,0.06078825652,0.058045384340000006,0.05529639712,0.05083360499,0.0425976725,0.03584354866,0.03568421471
149,0.05846748774,0.06005860494,0.06040074712,0.05777116091,0.055131881790000004,0.05090354295,0.04247363042,0.03511720986,0.03539311671
150,0.05836551374,0.060119745050000006,0.06024347964000001,0.057757390969999996,0.05530509505,0.05135328491,0.04307867991,0.03553726421,0.03571292
151,0.05825072914,0.05986882387,0.06009972965,0.05756249342,0.055075585809999994,0.05111708207000001,0.04288413669,0.035442228240000005,0.03559943642
152,0.058135944540000005,0.05988824599,0.06012593064,0.057494310359999995,0.05497607579,0.05099291564,0.04247177989,0.03487404736,0.035265923469999995
153,0.057847046449999995,0.059612029270000005,0.059913506979999996,0.057460211909999996,0.05504815604,0.05115904682,0.04253183636,0.03433690845,0.03480487535
154,0.058155453020000004,0.05968839173,0.059894151640000004,0.057558774230000005,0.055194084160000004,0.05130727705,0.04263560128,0.03459448014,0.035109039950000004
155,0.05837997692,0.05980408233,0.060146593279999994,0.05741015794,0.054716493740000004,0.05052771981,0.04225402594,0.03461775561,0.03492771478
156,0.05812886164,0.06024582454,0.06064881571,0.05785986521,0.055221170300000004,0.051175357149999996,0.04266318039,0.03453230541,0.03516272945
157,0.05809706327,0.06016871554,0.060594385839999994,0.05812543701,0.05571894521,0.05183186149,0.04291450259,0.03470709048,0.03545868874
158,0.05774790766,0.06069307271,0.06098170391,0.05823709173,0.05567412351,0.05161859948,0.043064237219999996,0.0346480094,0.03482934852
