3 Mo,6 Mo,1 Yr,3 Yr,5 Yr,10 Yr,20 Yr,30 Yr
0.11645982,0.21075031,0.17676263,0.5871495,0.7867296,0.96698326,1.4394275,1.5978025
3.4602935,3.6005027,3.7302372,4.3884606,4.4896264,4.6616926,5.131055,4.985957
4.346734,4.596729,4.8006287,5.458544,5.542218,5.6447835,6.05606,5.9168987
0.10649036,0.21299988,0.18419577,0.6103814,0.79057336,0.9965925,1.453951,1.6563368
4.3904734,4.6505527,4.8552513,5.5279474,5.6129527,5.7200546,6.129422,5.987073
0.23437683,0.3161763,0.3069079,0.7078215,0.8988513,1.1078472,1.5669621,1.7469671
0.2564906,0.33347583,0.3351488,0.72355855,0.91883695,1.1221683,1.5834885,1.7570248
0.29485643,0.36625758,0.37287346,0.75432605,0.94874334,1.1562152,1.6269354,1.791527
0.23878795,0.31837684,0.31849313,0.7098807,0.90397215,1.104842,1.5653389,1.7436228
4.7539234,5.060249,5.2936325,5.9676757,6.044761,6.1248302,6.5107965,6.372286
0.17599355,0.2704543,0.2558533,0.6629907,0.84971505,1.0575103,1.5141779,1.7024069
0.16764925,0.26179707,0.24433634,0.6581125,0.84363186,1.0486767,1.5063388,1.6967268
0.008465797,0.12717696,0.074397475,0.5184009,0.7008972,0.8898083,1.3418971,1.5384094
3.4936233,3.6388128,3.7726529,4.4330754,4.5349026,4.703876,5.171174,5.0253325
4.7037525,5.0035954,5.2328687,5.9049582,5.983317,6.0671797,6.455472,6.317319
4.3324823,4.5860653,4.787412,5.462108,5.5510173,5.6602974,6.0744243,5.930789
4.5884027,4.8706226,5.092181,5.7544513,5.834444,5.9237795,6.3175564,6.1798153
3.402806,3.5281522,3.6525824,4.278899,4.377742,4.550723,5.0136456,4.878398
4.4543304,4.717957,4.927765,5.588731,5.667341,5.7650185,6.170392,6.0319986
3.343148,3.4623456,3.5860608,4.2091203,4.3123803,4.484705,4.9511404,4.814438
3.9648855,4.1706357,4.3400846,5.011661,5.1048474,5.2438126,5.6816044,5.5365744
4.6910934,4.991186,5.220991,5.8931465,5.9755797,6.06118,6.447608,6.3085966
2.7926695,2.8732104,2.9428964,3.5516076,3.671762,3.8619177,4.3614316,4.24096
4.018591,4.2322445,4.4078417,5.0804543,5.1737804,5.306336,5.741428,5.5958967
0.07822642,0.18586855,0.16319326,0.5702472,0.75980234,0.95335853,1.4085765,1.5941336
3.3320844,3.450874,3.574267,4.200088,4.30549,4.480317,4.9462366,4.8085785
0.06553437,0.1722095,0.13234164,0.5606546,0.74967265,0.9319093,1.3898349,1.5720894
0.08577013,0.19303927,0.1729834,0.5724765,0.76506436,0.9601537,1.413353,1.5950447
0.09978606,0.20497979,0.18807597,0.58473396,0.77763915,0.972243,1.4264795,1.6062427
0.41033614,0.4772997,0.5061634,0.8484849,1.0528754,1.267034,1.740152,1.8902868
0.17040353,0.26363468,0.24698278,0.6616682,0.8462293,1.0502079,1.5093604,1.7004516
4.0898933,4.3067827,4.4904675,5.136586,5.2274795,5.3492527,5.771257,5.6336355
3.2795846,3.391036,3.5100276,4.1324596,4.238088,4.414954,4.88496,4.7474327
0.03481482,0.14839727,0.103681326,0.53883076,0.72372377,0.91087687,1.3646407,1.5564911
4.0800514,4.2952976,4.4778237,5.1230354,5.2127175,5.3343725,5.757843,5.621105
5.446083,5.8380957,6.1273613,6.8040776,6.8662906,6.8949785,7.2364464,7.101387
3.3928196,3.5182602,3.6456478,4.2711706,4.3744307,4.5441427,5.0073423,4.870469
