t,1M,6M,1.0Y,2.0Y,3.0Y,5.0Y,10.0Y,20.0Y,25.0Y
1,0.0577335535,0.0643819066,0.0671422347,0.0649907055,0.061534061,0.0557229402,0.040865403,0.033643051,0.0399075248
2,0.05837353042882517,0.06497688672057908,0.0676765070698257,0.06545433731726134,0.06194817650053501,0.056041073335578284,0.04095869258275302,0.03359252562204726,0.04006103045778148
3,0.05886462680192465,0.06552625860491473,0.06827795029337158,0.06617603460171817,0.06276786708423407,0.05694472929645802,0.0415892163188742,0.03342001148073421,0.0404064284893983
4,0.05904474913287307,0.06568612257915797,0.06840604730539078,0.06628916163227377,0.06288365481796392,0.05705875982994435,0.04165303131532196,0.03340310055015558,0.040466999912222676
5,0.0588027482102508,0.06537293588662778,0.06800704056457577,0.06578900880225624,0.06232683371127937,0.05645206062838012,0.041167634614747595,0.033337019664471,0.04016356529503805
6,0.05877187670762251,0.0652815087918857,0.06784214978858528,0.06554634950252024,0.062048885832702835,0.05616143267040132,0.0410610667320812,0.033661813317636666,0.04020986958052195
7,0.058130848390576376,0.06465334704603266,0.06722050655021919,0.06498158676810904,0.06155176607830959,0.05577359100873722,0.04080109046867655,0.03333829703751572,0.03985456839387593
8,0.058493272245458416,0.06499961313665116,0.06754021187896955,0.06529764356249186,0.06188189469566369,0.05612557032204178,0.04116084014163676,0.03366183395098272,0.04020285312775748
9,0.05796460412318458,0.06443690111096627,0.06693372557890441,0.06466619727018992,0.061258985798888624,0.055554034723339224,0.040826016184919586,0.03366601427203142,0.03993832004545758
10,0.058095323694810276,0.06452348851766612,0.06696212020498608,0.06463383828647723,0.06119093889876417,0.055429132028127125,0.04061327336138228,0.03346708074361084,0.03979674510754477
11,0.058332191460798974,0.06471081632377203,0.0670868550535362,0.06469543666427358,0.06122201892754312,0.055432997317300475,0.040673802423284944,0.03374399121039579,0.03996073681420594
12,0.05917229116237218,0.0655540534697133,0.06792431815676868,0.06556353483769016,0.06212850761145233,0.05638476603274412,0.04158748382298809,0.03445470724350673,0.04079454977311205
13,0.059106716590673514,0.06540523024115596,0.0676759390968961,0.06518903396511998,0.061673678498162854,0.05583877536757156,0.04109524190565966,0.034372185880351035,0.04051683786992562
14,0.05907024005799331,0.06539147695635918,0.06767731270587857,0.0652547948410569,0.06180116880023077,0.056031435944260424,0.041189041418886546,0.03407698208969904,0.040460133250851044
15,0.059375545394968365,0.06563799936083868,0.0678517456761856,0.06535213745599412,0.06185930903732645,0.05605968579510299,0.041327482908238566,0.034549405867683985,0.0407380858114095
16,0.05915604354691532,0.06538538434479062,0.0675545239317921,0.06502245063268,0.061522022053161395,0.055721763317472445,0.041031481905580335,0.03435679991572229,0.040489939410530945
17,0.05916816426685631,0.06535133666479624,0.06746272482507444,0.06487967030309866,0.06136242332572265,0.05556731928506513,0.041028800368775556,0.034663600608571876,0.04058905496435594
18,0.05956225689731436,0.06570682238445759,0.06776723235506726,0.06513965527430854,0.0616032013495056,0.05578627733305716,0.04125012644808702,0.03497348587783851,0.0408722295327652
19,0.0601051514582966,0.06625806827071656,0.06831650968416675,0.06571973444270761,0.06221123104121659,0.05639379422301138,0.04161826528265196,0.03487041829542208,0.041123312809568824
