tenor,risk_premium
1M,-0.00011615742005388618
6M,-0.001726163899724173
1.0Y,-0.002698347402385816
2.0Y,-0.002336890203934204
3.0Y,-0.0017380169703548724
5.0Y,-0.0009364114396796949
10.0Y,-0.0001739828256333599
20.0Y,0.00015438679286211703
25.0Y,0.00019625932836437766
