row_index,beta1,beta2,beta3,lambd,rmse
0,2.9906300212693497,-1.2600342770125827,-1.1887307240980785,1.0,0.07207412566339715
1,3.235895975045582,-1.1100524584793459,-1.1474470439123516,1.0,0.07946617403446161
2,3.586791385719284,-1.8786787579019126,-2.9068411590165177,1.0,0.09537616578426383
3,4.053135807949833,-0.9006240928552904,-2.938702824777188,1.0,0.123863473717942
4,3.5819196678624476,-1.8742040215732478,-2.8725715132449463,1.0,0.09489044669480076
5,3.1764322125625353,-1.278568221599789,-0.8855639791729228,1.0,0.08060909473049123
6,4.059794082639289,-1.0273227421981146,-2.6382966550042983,1.0,0.14663222983063107
7,3.000047880340197,-1.369831760991614,-1.3178646201585615,1.0,0.05244163276519178
8,4.009535617727969,-0.7011791287695464,-2.9796809393383605,1.0,0.12219886804392911
9,2.92527750893171,-1.0378596332995789,-0.7279502998642824,1.0,0.0865351668562192
10,3.5860203308423304,-1.8792558021801677,-2.9042298071223573,1.0,0.09345950210388533
11,4.338926710169197,-1.3905184991777622,-1.3316423104465476,1.0,0.04342781219307298
12,2.909293337052904,-1.0157687970290565,-0.6051926262342363,1.0,0.09311346198302514
13,3.5412013828971736,-1.8717620500088263,-2.809449066719023,1.0,0.10382736025943586
14,4.436454685922394,-1.250472571519831,-1.2763789599428612,1.0,0.07611412466513907
15,3.988147854088501,-1.0371090473177178,-2.4937690614288393,1.0,0.15817615416036931
16,4.517851376784088,-1.2137020808010832,-1.6561750129518935,1.0,0.08834160719925394
17,2.952384980639869,-0.9488736359091765,-0.796685859362821,1.0,0.08471238250343271
18,3.160598643828958,-1.1511820886483368,-1.1506485876576646,1.0,0.06495951988307555
19,3.013499959422257,-1.260748565620314,-1.2652120451319395,1.0,0.06522975517251525
20,4.028002676459192,-1.3714976124612361,-2.2807119885333718,1.0,0.14003810630626995
21,4.049646758283175,-0.8850056015215926,-3.0089433199016637,1.0,0.12608231192034278
22,2.926848904877506,-1.0145375784264996,-0.3752047114442911,1.0,0.09173197566585294
23,3.037916714930878,-1.255611079056299,-1.2250722839177424,1.0,0.06875532591779207
24,2.911494102768346,-1.0158165489961606,-0.7796101964176803,1.0,0.09244204090997012
25,3.5736547459499852,-1.7128318584120326,-2.833630608078709,1.0,0.12856263242228122
26,4.511823142659671,-1.4154973682960652,-1.6326322822504205,1.0,0.05689534058832832
27,4.076428840088831,-0.9867422023324746,-2.513968579351616,1.0,0.12452745195746871
28,2.924780827469509,-0.44825142014681196,-1.4857234400017056,1.0,0.05684552089620991
29,3.2170605283067384,-1.0852230832471095,-1.2054186579047288,1.0,0.08179101068137945
