row_index,beta1,beta2,beta3,lambd,rmse
0,2.579440858950278,-2.1997756760740703,-2.455520644499553,1.0,0.14505437979747837
1,2.719832299158129,-2.2237530568138935,-5.570679103513809,1.0,0.2883403959593061
2,4.630620048386766,0.7473632495477177,-1.2672934376109686,1.0,0.0807991592995661
3,2.277446691916686,-1.889342795570431,-2.3158040192152285,1.0,0.14806959635437994
4,4.432102806556642,-0.8104433747597621,-5.078350318489358,1.0,0.1957837631038427
5,4.328716812610529,-2.512834998937164,-3.6653467259909194,1.0,0.1943209511284688
6,2.473234071087635,-2.0760717604013403,-4.952774845984732,1.0,0.28358255883618316
7,4.322737352253071,-3.19332749813126,-4.32168664160511,1.0,0.3374292227040545
8,2.389647761777079,-2.0449981252325147,-2.8950807232489892,1.0,0.1692659410480305
9,4.372426027541388,-3.1682915600388277,-4.369660701506795,1.0,0.25338164975005917
10,3.311452375193759,-2.851331189087432,-6.2890603003559615,1.0,0.2716638124918227
11,4.855233855413911,-2.9459436592302466,-1.9278714818371672,1.0,0.13654377826396819
12,2.3513427357375494,-1.9367585935640026,-4.750069275645192,1.0,0.27992880695723243
13,4.721736218826683,-2.9905229605129615,-2.872957311220894,1.0,0.15932092179578394
14,4.572737857762849,-1.6968334555853488,-6.643460858971437,1.0,0.18785176598384673
15,4.75819934752687,-0.6775290228002397,-1.5297018164317064,1.0,0.12215642521524381
16,2.5839895876007875,-2.1112949820884146,-5.418655253653271,1.0,0.3011339817911958
17,2.406551746403705,-1.972911870357684,-2.980660639889501,1.0,0.16765610181346763
18,2.296091874623056,-1.9104953889569614,-2.716231432960498,1.0,0.16031100312651256
19,4.621910359276322,0.7499636788077098,-1.288832169105864,1.0,0.08382785450995472
20,4.062347693492902,-3.404403060636315,-2.142215850934261,1.0,0.3113766445428332
21,2.083712858983173,-1.7279728406465225,-2.6814948005033576,1.0,0.16275009228606646
22,2.6422679297886362,-2.20537830463118,-5.241636236538428,1.0,0.27830090620101855
23,2.453777022180267,-2.0444050445895297,-4.940595253975422,1.0,0.2838092266237535
24,2.590981725791375,-2.177946846824126,-5.092213908409713,1.0,0.2755098903180147
25,4.773710704488186,-0.8337131166809735,-1.159870794583163,1.0,0.15203219990592337
26,4.626235765631136,-0.10473107759226574,1.312502072547838,0.15946046046046047,0.12810809418509606
27,4.684306070287823,-0.16971181078565994,1.6119552702821143,0.17114814814814816,0.06882443829776526
28,2.5561744751570035,-2.090821932131161,-5.428781989733603,1.0,0.31448462466507016
29,2.1137277596602844,-1.7347624538342132,-2.2921290172380226,1.0,0.1423805835335984
30,4.679354568189465,-2.740305047652734,-3.3511453969727523,1.0,0.164054033998277
31,2.166683226463218,-1.9432592072642305,-2.04470009563828,1.0,0.1553205196795488
32,4.5569878791278935,-3.024824829364774,-1.9825697814346022,1.0,0.20072935559074098
33,4.390210403426487,-3.5895681244969344,-3.8156627474299496,1.0,0.3256930609543773
34,4.612123487234755,-2.6570894617101075,-3.044756603114369,1.0,0.14783075819453614
35,4.153931843773857,-3.4093321397490994,-3.9465311142984865,1.0,0.3039611984839915
36,4.71865546041595,-0.23290642892876245,0.9249216965412072,0.1545905905905906,0.0995471456434999
37,4.675074635029471,0.6446953902425128,-1.053763834751602,1.0,0.10091881118091782
38,4.724550753779441,-3.0162405748064423,-3.9108071392762245,1.0,0.1636912094262909
39,4.61184770760562,-2.892606910567874,-3.2771882826998158,1.0,0.18393936580623801
40,2.6541122320552097,-2.2139514956774784,-5.3621547733997055,1.0,0.29819450009516557
41,2.1954908205045562,-1.7831170819628612,-2.93843991914666,1.0,0.17085642297701187
42,3.2327851502103813,-2.7803430366791027,-6.233250927882809,1.0,0.2794429146675299
43,2.5236993686413616,-2.204826363310616,-2.8408690647863377,1.0,0.15464085136712616
