1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
4.6465287,4.623032,4.563346,4.531528,4.5321774,4.505189,4.459525,4.4523473,4.453572,4.420763,4.434632,4.397314,4.349506,4.333647,4.3491855,4.3776164,4.3830805,4.40943,4.430917,4.4298997,4.441164,4.4562373,4.4511228,4.4707217,4.456423,4.4650054,4.4671617,4.461975,4.4676967,4.4590745,4.448642,4.4578986,4.4486723,4.4500284,4.442445,4.445982,4.430643,4.434057,4.426839,4.4237614,4.4144745,4.405574,4.397481,4.389339,4.3841333,4.3706465,4.3616357,4.3528147,4.3438196,4.3307743,4.3241963,4.317604,4.3022733,4.2935324,4.284738,4.2695413,4.2617416,4.258818,4.2385135,4.2305794
4.852219,4.8259306,4.8460298,4.8785996,4.8878727,4.9050136,4.9106936,4.937793,4.940502,4.962068,4.9741774,4.9821663,5.0358877,5.049312,5.092785,5.106785,5.123923,5.114319,5.1299205,5.1244764,5.138867,5.1262493,5.1206627,5.112556,5.1021442,5.0996075,5.093457,5.086403,5.0887384,5.0762796,5.066324,5.0544386,5.0486875,5.0386934,5.031481,5.025191,5.012011,5.0040154,4.9970927,4.9839225,4.9730887,4.961385,4.9508266,4.9367027,4.9235764,4.9128036,4.9003463,4.8853436,4.872331,4.856539,4.843897,4.832758,4.8115406,4.799439,4.787248,4.771815,4.757738,4.7420545,4.729111,4.7171583
5.298061,5.3267164,5.281945,5.2642145,5.25994,5.2615995,5.2656374,5.3075924,5.287524,5.259745,5.287553,5.2699943,5.2161303,5.2181582,5.1476593,5.166156,5.1420927,5.107538,5.075124,5.0441904,5.020364,5.0000663,4.947123,4.933804,4.898075,4.872634,4.846815,4.8247833,4.7715635,4.754628,4.724453,4.709552,4.6777287,4.641247,4.627251,4.5954533,4.5712924,4.5524945,4.520561,4.5058126,4.4771404,4.455691,4.4335566,4.4116607,4.3958163,4.377188,4.353917,4.336156,4.3224993,4.298497,4.280716,4.2684264,4.2508807,4.240092,4.2228227,4.205784,4.195605,4.181174,4.1699543,4.152989
5.6987295,5.722512,5.685479,5.7274466,5.733417,5.7376957,5.757427,5.7151613,5.7148676,5.736827,5.7126036,5.7308936,5.692011,5.5933046,5.6240225,5.5199146,5.5172906,5.4882364,5.452716,5.4377046,5.395089,5.3640547,5.3518314,5.30942,5.2979355,5.249199,5.221386,5.187675,5.16462,5.121407,5.1089344,5.0693016,5.0373993,5.026782,4.979967,4.963068,4.9333715,4.9021993,4.880109,4.851793,4.829054,4.8054013,4.780689,4.765451,4.7416906,4.715026,4.692753,4.673148,4.651155,4.629392,4.6154795,4.585805,4.572351,4.552157,4.526034,4.5131893,4.501704,4.4797444,4.46091,4.4528956
4.2801523,4.23525,4.2992353,4.2645464,4.197902,4.2012787,4.1978927,4.1514015,4.136906,4.1201725,4.103213,4.065087,4.026928,4.0142155,4.001303,3.99241,4.031708,3.9970613,4.0273337,4.0244207,4.0542045,4.0706167,4.0717206,4.0734158,4.0724244,4.080941,4.089849,4.1070147,4.095033,4.109748,4.1166177,4.116224,4.123212,4.1251693,4.142778,4.127016,4.131657,4.131062,4.147142,4.1401863,4.138506,4.1441345,4.1463356,4.13732,4.132733,4.1388726,4.1332417,4.128722,4.127427,4.121099,4.1125975,4.114964,4.1088276,4.1068597,4.0992107,4.0963926,4.0877185,4.077202,4.080701,4.0719185
0.77425957,0.8154831,0.78665876,0.8153312,0.84459615,0.81916785,0.88421464,0.9247124,0.93263364,0.9783366,1.0208061,1.0871522,1.3884225,1.6271603,1.9383554,2.157226,2.3951097,2.5873947,2.7566748,2.9290247,3.0411282,3.1863737,3.2999034,3.436415,3.52079,3.6106,3.6922805,3.7724767,3.857652,3.9305193,3.9934444,4.061528,4.11271,4.1562004,4.1945596,4.2491946,4.2783422,4.310969,4.348709,4.372973,4.3981,4.417496,4.434931,4.4508543,4.4739957,4.4741507,4.4914556,4.4991736,4.5066414,4.5148616,4.521702,4.5206385,4.5178413,4.5234776,4.5250278,4.522286,4.525586,4.517262,4.518326,4.5182385
0.5359423,0.55701256,0.53422856,0.538995,0.52851033,0.55731916,0.52589273,0.5409043,0.5807495,0.58014536,0.6104982,0.64466023,0.80457973,1.0268879,1.2535574,1.4872591,1.7121215,1.9359868,2.1382482,2.3309464,2.501052,2.6832876,2.8212504,2.9778867,3.1241884,3.2383227,3.3587778,3.4865007,3.577433,3.6677601,3.765874,3.844442,3.9127145,3.984878,4.043278,4.101503,4.1509876,4.197457,4.242083,4.2789826,4.313433,4.3455725,4.3685627,4.394631,4.41979,4.4380145,4.4508977,4.4663157,4.48034,4.4883213,4.497573,4.5060477,4.5128465,4.516613,4.5207124,4.5209203,4.5305123,4.52862,4.529683,4.5265946
4.484952,4.436303,4.507832,4.4851704,4.436198,4.4250712,4.428171,4.388811,4.356361,4.3637996,4.3489504,4.3240757,4.296129,4.2658367,4.239538,4.2357664,4.2534957,4.2085824,4.2436705,4.23905,4.246067,4.2431984,4.248078,4.227118,4.2278566,4.218156,4.2216334,4.2203937,4.221036,4.223734,4.221099,4.2220454,4.21908,4.2107105,4.2089014,4.206364,4.2041583,4.203493,4.2028947,4.1890326,4.188609,4.1854067,4.179061,4.165786,4.1609206,4.1599026,4.158435,4.144475,4.140788,4.1342616,4.1230326,4.119922,4.1067886,4.1012506,4.096397,4.089218,4.080871,4.069168,4.0685,4.061882
0.07973504,0.08640051,0.1594212,0.17853808,0.17071867,0.21926522,0.2959447,0.3237431,0.3513465,0.4169352,0.48037386,0.53446436,0.93696094,1.2369251,1.5285702,1.7475767,2.011639,2.1523974,2.3394995,2.4956741,2.6166582,2.7640157,2.8553994,2.957163,3.0809593,3.1506715,3.2585196,3.3368351,3.4063601,3.4733682,3.5505245,3.6139748,3.6635363,3.7208946,3.7583423,3.8119032,3.8415995,3.8922124,3.9221878,3.9424267,3.9775116,4.002245,4.0225096,4.0394745,4.058416,4.075881,4.0884,4.093476,4.106994,4.11283,4.124539,4.127923,4.1313357,4.140807,4.136136,4.14134,4.149416,4.1380877,4.1475716,4.15366
1.0757222,0.9738319,0.9827883,0.918334,0.87452364,0.83927894,0.82238245,0.77083254,0.7370763,0.7512326,0.7261362,0.6807349,0.7368634,0.85193396,1.0023382,1.177808,1.3589902,1.5290127,1.7449193,1.904542,2.1117406,2.2593143,2.462956,2.5809298,2.7114525,2.8658662,2.994522,3.0975883,3.234271,3.3217087,3.40976,3.5004272,3.5830967,3.6555219,3.7202272,3.7831774,3.8374302,3.8927324,3.939971,3.979456,4.017879,4.0547185,4.088986,4.111614,4.140786,4.1684785,4.198679,4.2167735,4.2307916,4.247548,4.262539,4.2798376,4.2848363,4.294488,4.310271,4.3195148,4.3186765,4.3327193,4.33363,4.340911
0.52047276,0.5224979,0.50045276,0.52840424,0.522341,0.55303264,0.5593157,0.5741453,0.59666276,0.6241429,0.65240765,0.6713865,0.86001873,1.1098506,1.3180814,1.5785434,1.7738645,1.9737785,2.1563509,2.3264804,2.4948692,2.6486254,2.8149948,2.9458618,3.076683,3.2063859,3.3141675,3.4205954,3.5157576,3.6022978,3.6796799,3.7578545,3.831128,3.9001784,3.9583898,4.0003095,4.0576267,4.0985622,4.132896,4.1715994,4.2025986,4.2310085,4.259939,4.2792163,4.301226,4.3149767,4.3345966,4.346287,4.3570843,4.3669095,4.3743863,4.3817024,4.3879566,4.3915668,4.404013,4.4031844,4.399691,4.4065394,4.4042387,4.4048486
3.3164544,3.3502483,3.393083,3.361254,3.3542945,3.3079796,3.451619,3.514028,3.4854527,3.5096698,3.6261127,3.6532094,3.9124486,4.0986404,4.183343,4.338099,4.508432,4.5061255,4.6289682,4.683593,4.6729956,4.754451,4.770364,4.8071775,4.82378,4.8193336,4.859094,4.8513703,4.8511147,4.890882,4.891196,4.9505587,4.9324074,4.931135,4.936377,4.952647,4.954195,4.968344,4.9626594,4.96268,4.965288,4.969503,4.9601173,4.955598,4.9696827,4.961229,4.968158,4.960906,4.958814,4.947634,4.943387,4.9392877,4.9189887,4.9302197,4.9200287,4.902212,4.89677,4.884146,4.8755155,4.86882
4.875519,4.8727474,4.8195467,4.8518724,4.8743706,4.8598337,4.8612347,4.8555965,4.8538423,4.864126,4.856124,4.866856,4.8478394,4.82965,4.9047675,4.864814,4.882682,4.9038973,4.8989987,4.9012194,4.9246473,4.9091015,4.9113584,4.905961,4.9084063,4.9070983,4.8992953,4.8988047,4.9016166,4.8813357,4.886987,4.8665667,4.862361,4.8587217,4.850429,4.848553,4.8363423,4.8235693,4.8213105,4.8137655,4.8020873,4.7925215,4.7842817,4.7793226,4.763677,4.7534037,4.7377787,4.729599,4.717289,4.701736,4.69394,4.6779056,4.6651196,4.6516767,4.633698,4.623483,4.614149,4.5982685,4.583054,4.574086
