1M,2M,3M,4M,5M,6M,7M,8M,9M,10M,11M,1.0Y,1.5Y,2.0Y,2.5Y,3.0Y,3.5Y,4.0Y,4.5Y,5.0Y,5.5Y,6.0Y,6.5Y,7.0Y,7.5Y,8.0Y,8.5Y,9.0Y,9.5Y,10.0Y,10.5Y,11.0Y,11.5Y,12.0Y,12.5Y,13.0Y,13.5Y,14.0Y,14.5Y,15.0Y,15.5Y,16.0Y,16.5Y,17.0Y,17.5Y,18.0Y,18.5Y,19.0Y,19.5Y,20.0Y,20.5Y,21.0Y,21.5Y,22.0Y,22.5Y,23.0Y,23.5Y,24.0Y,24.5Y,25.0Y
4.70832,4.685399,4.6557884,4.6415277,4.597139,4.578949,4.559415,4.542411,4.513972,4.4948053,4.475527,4.4583597,4.401088,4.389827,4.393825,4.406423,4.412898,4.422705,4.4359446,4.4370713,4.4417925,4.4511237,4.4418993,4.4444513,4.444996,4.440914,4.4388185,4.43695,4.438018,4.433781,4.435176,4.433207,4.4314985,4.427032,4.427201,4.423914,4.418969,4.4166236,4.412861,4.4107256,4.4038215,4.398154,4.3917336,4.3855124,4.382192,4.374167,4.368276,4.3597326,4.3538795,4.342258,4.336019,4.3288345,4.3190346,4.309408,4.2986794,4.29075,4.282279,4.2722163,4.2633944,4.2526407
4.7909765,4.793292,4.7661085,4.7995768,4.790101,4.794163,4.8210206,4.831669,4.849242,4.8564425,4.891207,4.894185,4.9820957,5.0623603,5.1229496,5.1527543,5.171489,5.1969237,5.220803,5.214468,5.2221575,5.224427,5.1992884,5.193975,5.18886,5.1695986,5.150857,5.1282954,5.1244082,5.1078973,5.0982223,5.0953426,5.081826,5.0646715,5.053639,5.043108,5.0268893,5.020134,5.0083594,4.999796,4.9812927,4.9675655,4.956875,4.944105,4.9371867,4.9208283,4.9100227,4.8973207,4.88406,4.8686137,4.85792,4.8461676,4.8267803,4.8153667,4.7973614,4.7857633,4.76936,4.7576485,4.7433147,4.7261934
5.537383,5.5093822,5.435301,5.448743,5.39955,5.377049,5.3595676,5.3220215,5.321246,5.290854,5.273907,5.283809,5.193279,5.140736,5.1313415,5.087346,5.0880013,5.058232,5.0843945,5.0413666,5.0060253,4.9912133,4.953948,4.9234867,4.8849196,4.8648033,4.825676,4.7949457,4.769618,4.7350864,4.705693,4.6794505,4.6526856,4.6278753,4.606228,4.5831122,4.5566983,4.536792,4.515248,4.4953113,4.4745903,4.455707,4.436591,4.4171176,4.4012666,4.384448,4.3718367,4.358572,4.334729,4.3252053,4.3082457,4.297161,4.2808666,4.2693596,4.255456,4.2455893,4.2257285,4.220982,4.2069507,4.195382
5.843403,5.8423376,5.8384547,5.8319683,5.839596,5.830673,5.816284,5.811598,5.799369,5.776841,5.7754564,5.7378836,5.660095,5.5878034,5.5334845,5.5024652,5.4559097,5.4149456,5.3952847,5.3681474,5.355309,5.326645,5.2938313,5.2701564,5.250616,5.2254195,5.199743,5.1649637,5.143605,5.120517,5.1010165,5.0812287,5.05709,5.027206,5.0086946,4.9811087,4.959561,4.9405413,4.914575,4.8913445,4.8632913,4.838418,4.8158417,4.7949786,4.775177,4.7477565,4.7248654,4.7027044,4.6813645,4.6576567,4.6378565,4.6145325,4.592505,4.573123,4.54929,4.5307875,4.5082517,4.4911566,4.4714527,4.4516897
4.548474,4.4871597,4.461943,4.4283457,4.3960867,4.3198795,4.311263,4.2858725,4.2395988,4.230162,4.203371,4.143232,4.0697365,4.0559225,4.0660644,4.047161,4.0628967,4.064369,4.060434,4.062524,4.0742764,4.0641336,4.077669,4.082093,4.083633,4.0749073,4.067843,4.0831814,4.0781593,4.0838823,4.0845814,4.09012,4.090988,4.0988035,4.1033063,4.10694,4.116956,4.115357,4.1206875,4.1219053,4.123622,4.1293263,4.124863,4.127493,4.134132,4.1337967,4.137919,4.1336346,4.131815,4.1317782,4.129335,4.1328797,4.128309,4.1282034,4.1235065,4.122108,4.121244,4.1197553,4.114879,4.114186
0.42070532,0.43078375,0.40111065,0.43217397,0.41986132,0.4470749,0.4761734,0.49448776,0.5261259,0.579093,0.62582684,0.66461563,0.96596956,1.2665136,1.5685976,1.8519149,2.1188164,2.36476,2.5834699,2.78407,2.96694,3.1416376,3.300958,3.4477582,3.5842505,3.6985183,3.7979007,3.9022782,3.983597,4.0574365,4.1278944,4.191352,4.237517,4.283488,4.32395,4.3594236,4.383074,4.4052353,4.427745,4.441384,4.4550195,4.464658,4.472721,4.4777837,4.4854546,4.4858046,4.48958,4.4901543,4.486925,4.483641,4.4798985,4.482318,4.4741106,4.4699116,4.4639053,4.4613767,4.451419,4.447124,4.43816,4.432212
0.5397835,0.55969095,0.550091,0.5764296,0.5844929,0.58474374,0.6149452,0.63603735,0.66743064,0.68032527,0.73543096,0.76236916,1.0210054,1.2927096,1.541121,1.7726693,1.9598223,2.1663857,2.341956,2.4877462,2.642874,2.78189,2.911028,3.0231538,3.1386995,3.2492158,3.3455276,3.437665,3.5335245,3.6134636,3.7007675,3.7799644,3.847476,3.9157062,3.9741669,4.0334954,4.0897336,4.138813,4.189368,4.2328243,4.2668834,4.303138,4.3359027,4.369349,4.398073,4.418638,4.440598,4.460821,4.47857,4.492783,4.5080395,4.5208697,4.5289254,4.538193,4.544137,4.548566,4.5529003,4.558115,4.559729,4.5594716
4.4519253,4.453096,4.436495,4.4262085,4.432231,4.4071083,4.40226,4.3945374,4.368871,4.345684,4.3536925,4.323623,4.2711473,4.261289,4.2604585,4.246546,4.224469,4.2306876,4.226932,4.2156816,4.2316537,4.219566,4.222486,4.215906,4.215623,4.210328,4.2090697,4.204287,4.2018094,4.202012,4.201058,4.201102,4.2014055,4.1995707,4.196801,4.1962404,4.197885,4.193425,4.1904454,4.187535,4.1802793,4.177963,4.1726537,4.1705704,4.1656294,4.157177,4.1542697,4.146796,4.141357,4.137095,4.1304235,4.126653,4.1197476,4.1120853,4.1067715,4.1001453,4.095042,4.089773,4.0856686,4.0769367
0.42188835,0.4296577,0.4143486,0.43841743,0.43087816,0.4627571,0.49060225,0.504982,0.54517794,0.5880115,0.6306622,0.67211056,0.95173144,1.2248249,1.4952755,1.737747,1.9570698,2.156346,2.3392286,2.499353,2.6532946,2.7948294,2.921764,3.0387108,3.1506314,3.2451382,3.3274813,3.4128156,3.485629,3.5472958,3.6161315,3.671905,3.7143385,3.7601688,3.8033133,3.8397672,3.8688436,3.8933103,3.9239404,3.9432158,3.9639657,3.9801884,3.995358,4.010461,4.025078,4.0328183,4.0439916,4.05495,4.059231,4.063136,4.068194,4.0783334,4.079507,4.084305,4.0842385,4.0879707,4.0870667,4.0906296,4.0870614,4.0896316
0.50497365,0.51154613,0.510674,0.54710174,0.54353523,0.5424042,0.57603955,0.57473445,0.5871811,0.60371804,0.6196449,0.62830925,0.6989572,0.8317566,0.99038386,1.1547897,1.3427157,1.540365,1.7259517,1.904422,2.0817988,2.2580397,2.4281104,2.5905929,2.7479136,2.881051,3.0004463,3.1284094,3.247878,3.3485575,3.4485471,3.545579,3.6210032,3.6957908,3.763693,3.825571,3.8819003,3.9352617,3.9817085,4.026985,4.062684,4.096083,4.1246357,4.1557727,4.189403,4.2072973,4.2280545,4.247917,4.2631803,4.2726455,4.288988,4.3023033,4.3079214,4.3197427,4.321387,4.326833,4.328617,4.3329506,4.333981,4.335625
