beta0,beta1,beta2,tau
4.572119089479959,-4.122124476558131,-4.8412288807846755,1.1646769260464407
3.4554930332140974,2.020385511351693,1.5452842831518547,5.922193318087456
3.6889710698255547,0.9145543111981683,1.6770935113817642,5.199775076040158
5.271118157327357,-4.732729919649057,-5.21400925580583,1.7771137034185602
3.3643881391170343,1.575544570194393,1.3296277267302394,6.178088379847256
4.386154254224978,-3.7237551368202064,-5.406665875775862,2.109716948105335
5.214805215566531,-4.652821722371048,-4.775174368669957,1.4873609417155123
3.3801433162843173,1.5338883632162226,1.0594849337513934,7.071994078036599
4.575455309139427,-3.909050511271308,-6.349329991906591,2.3761822936780965
3.216197647263951,2.3145902575379487,0.9724799860891902,8.468976872261313
4.1998016011631645,-3.5594194492712603,-5.031683372028536,2.370546065020393
5.005180883737679,-4.344687435728388,-5.826439166591978,1.965487944728323
5.5335852363216285,-4.90589800020904,-6.351109973645728,1.1478357057549542
5.195821472054496,-4.54453387652026,-5.637746334799801,1.6743826384991571
5.5009296163536785,-4.287538246159212,-6.941911500387415,1.2155934247485467
4.394165269930831,1.3518502425648435,-9.05359014506866e-06,1.911856306620116
5.147426519632765,-4.958681120010909,-0.00020322451186418364,2.814267617407618
4.269098923702716,0.4749201668944174,-1.4090732462224913,1.0046211688891367
5.340387222518634,-4.709579333336513,-5.963430924501919,2.0786799955620365
3.006115934497474,2.0730932333757752,0.0002449442425191269,12.589653816047367
4.5499774521562735,-3.941455884030502,-5.947389457668415,2.854817810416553
4.560995097344049,-4.085607815944638,-5.877819936981519,2.936112565943025
4.351549258379895,-2.3378932719471823,-7.0554795997154995,0.7693591470552521
4.7394491883965575,-4.302287632207208,-4.726762108529031,1.1379182592560344
4.317135608517935,-3.683318967779142,-4.776270245201511,2.1868697715346475
5.47392863612425,-4.811137258903373,-6.546156494288925,1.2176448505538293
5.232597911131051,-4.704306834189778,-5.424514521460332,1.677779681768652
4.6088173939251,-3.981088400257935,-5.695098826209621,2.5727233223460213
3.3006250730623403,2.106866253223229,0.00010954842961524719,11.336859894715225
4.716525062032187,-4.21292986635985,-6.477194985893513,3.237183824054535
5.232651706331128,-2.662887524679294,-5.456277590298347,1.0434784487186037
4.388050872079348,-3.725167342639825,-5.119760317999941,1.977645089279826
4.340318801588634,0.4045195463643132,-2.5577865015986035e-05,2.1629309512607326
3.3086150054382837,2.1068918859726335,-1.109603011551405e-05,12.08725514854626
5.0067078230031825,-4.341325598110218,-5.731852220523074,1.894393992150844
4.761086951744349,0.9110164064200827,-4.561962019804386,1.1678833471576557
4.548895427607785,0.9899980048365927,-1.7381440030961295,0.866903506476619
3.5794280673549848,1.1820096482517006,1.3879430498314138,19.999999999999996
3.3564400878108347,2.1770542825156274,1.2605626168791726,5.974907208557588
3.689109912905896,1.8991588358980251,0.00014915480793078624,11.73266166433828
4.151567798112607,1.5839014010765713,-1.7950299402876992e-05,4.91440750543427
3.9742846033285573,0.5700502930251536,-7.913345472242702e-06,0.6105778568874903
4.363135342348814,0.473527667294157,-0.9858719472173602,1.147773172069368
3.212029678046407,2.2692890777443773,0.5820513692214845,11.471911534908747
3.607596123604187,2.009508486743599,-5.594039475562666e-05,12.175601447430934
1.9272460658496913,2.46386302276372,1.967921790413286,19.9999999999988
5.224960256026179,-4.630572595390085,-4.3796558153167355,1.5384530842078348
2.9492400227822797,1.9247966680302333,0.10282400264988509,19.99999993320622
4.144432644794461,-3.507583095973465,-5.591531067709511,2.1701565265511666
5.359381128993923,-4.7220138787185215,-5.022801516962495,1.552341141033002
4.461510812858972,-3.8437591258465775,-6.327472045145908,2.7815520296901206
4.976093168350007,-4.367117840204762,-5.619870849173039,2.6657543575837948
5.291055607983024,-4.711048095144863,-4.546562557970967,1.4280983213635954
3.102290442471808,2.0821005172614186,-6.411421761259224e-05,14.057183347401814
5.320037835596534,-4.686964424962485,-6.188678575048141,1.0981952023019794
5.396178552007618,-4.778408767798756,-5.779219722718339,2.1007190048648585
4.575354927489518,0.25389522155844785,-0.3826072450654964,0.7930138118353184
3.0434011851938756,1.3470614364069435,9.727420770052397e-06,19.94325620539883
5.1500941870684045,-4.663494245491521,-2.3929123412951396,2.7935251877237275
5.061652284625481,-4.046125202448386,-6.473964833754562,1.2178643262211104
4.563979774976857,0.26825838208598035,-0.3303798999953136,0.8516392622657228
5.164897269890766,-4.505174966833783,-6.0995227987442275,2.130385658719054
5.161717196736663,-4.540855456460903,-5.1636334538566935,1.6204025447526225
5.152717070935572,-4.645966577058192,-4.207968904140186,1.5804017775102168
4.799607285069221,-4.2530357315056255,-5.545718914688613,1.0706718591455129
3.640144076423314,0.9755774498950686,1.7462439946339947,5.638888122586971
4.66724641534784,0.6101833149651575,-1.883278656986199,1.2531849967695492
4.120692448061744,-3.5376713852465604,-5.424325502232838,2.3069299251187227
4.306709065187622,0.5036469490083723,-0.8306068185474903,1.169025301937238
3.544762448062058,1.011226836558843,1.55119993145963,6.396788630050103
5.273732833471107,-4.642581181414248,-5.890722899837593,1.8741030808138943
4.824933873702488,0.3407867418346094,-0.017945897363805856,0.46278041754400867
5.097992118927267,-4.52037906064302,-5.944037093751868,1.1259383333726833
4.60444876139715,-4.104933102312526,-6.151432566961478,3.225843958191316
4.854519193586843,-4.328895631389538,-5.377462821128658,1.0995522057570866
5.3549642777468724,-4.859842145902847,-5.1462018998856225,1.7973562512933507
5.031415352897402,-4.405469761138843,-6.013575215332622,0.9866970957330161
4.9226827038260135,-4.562175360312402,-0.0002644481752718561,3.947366752040895
1.7111205789641082,4.127046826569739,2.181954563508943,19.999999999999996
3.2132863588061107,1.6390330506599318,1.3840215008466779,8.876315753300934
5.030973036708714,-4.382273050293222,-5.748502678419234,1.8878749106009212
2.7700243409146434,2.6481390130828557,0.768140182167266,14.194268494470542
5.409867673116308,-4.802109819223777,-5.879137977850961,1.1702033308878745
4.705059997098398,-4.188701989548805,-5.727154347515563,0.9803193701749076
5.204813253773972,-4.579139764056667,-5.098381516083284,1.5643528948677252
4.600057492125868,0.24723858399672652,-0.4700327468147373,0.803449356903003
5.474952045833371,-5.24179315756361,-0.000594447894698714,3.2860016901278155
3.622781268333765,1.7476317638751002,-7.981212714883008e-05,8.625092924890195
5.2066327201741185,-2.9168344432424167,-5.073066997750525,1.065174315674455
5.516433607101245,-4.860274720327386,-6.46158574827971,1.212960155805045
