beta0,beta1,beta2,tau
3.111643993927319,-1.4380448555293597,-5.7723586043715e-05,2.6527785486617868
3.4147329446380725,-1.3328902099151396,1.3480299031300304e-05,3.2833676680817043
3.8899696547822193,-2.436132871863156,-2.2706662551486943e-05,3.6639174395317347
4.449608826802955,-1.6051394368890635,-1.6724852246244155,2.8451710424753807
3.8775333375585666,-2.4193611193484528,-4.994902805696103e-05,3.6262229744093517
3.302963485523913,-1.4072486085489666,-1.258354494326807e-05,2.4639604023519706
4.763406472858586,-2.0118370452568244,-5.0978195592979515e-06,8.644333116546722
3.090363079737327,-1.5419914980349008,5.502128411665188e-05,2.4239778925748965
4.378666257255294,-1.38752458236735,-1.937345806084167,2.6070843947067277
3.05165116639081,-1.1583423870468321,4.5774503414353666e-05,2.6643017833558704
3.8783656889842075,-2.4272598826616774,5.303242293153623e-05,3.617512838523504
4.413843079046326,-1.5546711841229839,3.706632263746224e-05,2.3225636012734743
3.036733649716002,-1.1178675050548172,0.00015149347806978943,2.6041110806903425
3.8451265930848235,-2.4111801309608087,-6.148298541907982e-05,3.645003554729936
4.606242061853719,-1.4760405405764352,-6.1946436889212585e-06,3.056810753518707
4.800006754081658,-2.0892047671471143,-0.00010842924248028742,9.533890596437784
4.7694894004891255,-1.5748167099928052,9.562008303531952e-06,3.9270680308819057
3.087651088568329,-1.0947409173322442,1.086651329742222e-05,2.959302265930209
3.288519029208975,-1.335460948177969,1.21891281162942e-05,2.830156667999897
3.1320097841069,-1.449975552925878,-4.95089734471367e-06,2.6875373483113045
4.504346215850169,-2.0136359420491843,3.423319807061691e-05,5.384871753032722
4.456694012050897,-1.608709268262529,-1.759003218399338,2.8261965909912736
3.0123790461361293,-1.0577322158351998,-2.8322217059256695e-05,2.045509790475165
3.174405217283679,-1.4500190102728243,-3.348637736024719e-06,2.786381126326885
3.0538712264559185,-1.1572694145021523,6.474748097157185e-05,2.879886005398922
3.992686215671202,-2.3697850012444297,-3.708043729698483e-05,4.436867052912214
4.654761026610832,-1.6714620829588278,-3.8679386807913946e-05,2.867027974532754
4.681110096282566,-1.860503639923108,9.377763687476491e-05,8.055660089279506
3.0353397528296613,-0.6979826128583387,-0.9484313461700055,2.009984897859308
3.411074016847576,-1.332276133814376,-5.037041990505388e-05,3.497742662162331
4.9442302868172705,-1.7585737148887957,-1.479073659233352e-05,2.599356370905245
3.7922741935613105,-2.338277420535372,1.0807656685529136e-05,3.8459881490820287
4.422727867918174,-1.4810604648908932,-1.5561863876906306,3.000390087395667
3.0461908493853525,-1.1687989887509966,0.00010297009686178582,2.84463249228816
4.015365768609115,-2.5178573669657958,-0.0001301903882038937,4.593308470422215
4.002375907904285,-2.2649583301741854,5.399929733007191e-05,3.9218712706798278
3.0456552002536155,-1.5020710607311543,3.4054581608187985e-06,2.328586571930543
4.495436139405701,-1.423832974817518,4.100444142434826e-05,2.2942839112014877
3.364350524031128,-1.5061753070162505,-6.627400111466403e-05,2.499708774215594
4.470237544254846,-1.5192057371928884,-2.772038681041688e-05,1.9775626439172929
4.10973803335982,-1.8558830994079056,-1.8753755995112336,3.2733913194806354
4.7440214596952375,-1.6320686717999384,-2.828797877936536e-05,3.434723629325082
4.917573675737646,-1.820005981288955,9.215606739864481e-05,9.113531955157518
3.103464788158229,-1.5343734229591943,9.877587323281437e-05,2.499243993669464
2.9653087005113727,-0.49602175552174743,-1.725659404378685,1.0526724166184405
4.458048097018625,-1.6326082206527426,-1.68896595726655,2.9004981601775754
4.77969638468152,-2.349824536442053,7.809281608140345e-05,8.451385250912981
4.745660129039386,-2.4911301657600347,-0.9151404701134114,5.570592627081756
3.1070612730554177,-1.502653067933204,-2.695901754785142e-05,2.5726977574996885
4.556507896754557,-2.490330564947028,-1.7502107814035317,3.224403508510577
4.6303326353206335,-1.6686075887260803,5.5276208628419855e-05,2.823683730078692
4.184258503446741,-3.1772093015371676,-3.7376632706448896,2.316912672866861
3.0694075993616856,-1.5057826943651622,-2.5144212921247015e-05,2.3203404987829344
3.066280140025955,-0.7014984184822223,-0.6818724398419935,2.348492624238637
4.647329246440752,-1.8287811864348729,-1.2157961729200284e-05,7.506586272477289
4.560632793067258,-1.7200074350607535,-1.2772496342347046,3.749418110876936
4.570976940135612,-1.4216189380604694,-3.129408466992988e-05,3.155327779386776
3.1228591320698595,-1.5363510516688434,1.313215278390622e-06,2.634927833800671
5.16974354176536,-1.8770610192183261,-6.073502694343797e-06,3.4035724967865693
4.750018873485509,-1.483484589890521,-1.0289901030149935,5.375390680376841
4.605367429763028,-2.2867883058279554,7.889513963749714e-05,5.915016580510102
4.420130288573189,-2.265915656107539,-2.306408788382996,2.2174662516612993
2.9489002503409583,-1.3422592317643447,0.00010173360362441591,2.4131065518689936
4.473376121250516,-2.482339967613932,6.411260135594444e-05,4.479369197120603
4.979539563747578,-1.7876809365014703,-0.858605497041208,1.786304304493728
4.376148342432758,-1.3353713393999014,-2.12074473768895,2.445180027094148
3.987526501726798,-2.4606613632098746,0.00015077256871588108,4.478824471633238
2.94607503186709,-0.7880560041954825,0.00012320051652162984,5.3561073896847935
4.53984602866336,-1.7457981390957142,-1.5717901184683387,3.1839603957850255
3.8527869706057243,-2.3774309607148987,-1.4041585766004878,2.6817839584923306
4.424548785062169,-1.4738089988529823,-1.6663738459188435,2.8996670658635675
5.117329941846658,-1.876455034463447,8.231712320162785e-06,3.833160456573197
3.3622019543924875,-1.4822269385006621,1.7724286029257388e-07,2.565412795704632
4.018566013990048,-2.4367196332612333,-5.7800142482794025e-05,4.313569771202068
3.9982663134046867,-2.378080714421326,-3.664296263814516e-05,4.519501091247699
5.192893850100494,-1.8751848878888608,5.522580183202225e-05,3.4474496316008727
3.0677717197797985,-0.6442624651577847,-0.7104169635805916,2.930314066765594
