t,strike,mkt_price
1,0.0646,0.002339
2,0.0656,0.002555
3,0.0658,0.002550
4,0.0660,0.002594
5,0.0659,0.002544
6,0.0659,0.002554
7,0.0659,0.002542
8,0.0660,0.002547
9,0.0661,0.002524
10,0.0662,0.002491
11,0.0663,0.002711
12,0.0661,0.002654
13,0.0661,0.002655
14,0.0661,0.002644
15,0.0663,0.002569
16,0.0662,0.002581
17,0.0664,0.002636
18,0.0664,0.002626
19,0.0666,0.002655
20,0.0664,0.002642
